en	pt
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	Existem 4 ímãs ao redor do campo (objetos laranja). Você pode ativá-los deslizando (mova o dedo na tela). Eles podem mover qualquer material magnético - perfeito para os detalhes com os quais trabalhamos! Experimente mover um objeto (como o parafuso) três vezes.
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Um novo detalhe apareceu: um parafuso. Embora alguns possam considerá-lo lixo, podemos reciclá-lo em algo mais avançado, como uma engrenagem!
Recycle two bolts into a gear by moving them together.	Recicle dois parafusos em uma engrenagem, movendo-os juntos.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantástico! Você acabou de reciclar algum lixo! Continue assim e juntos poderemos alcançar nosso objetivo de criar uma vida melhor.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Oh, não, o ímã quebrou! :({#} Veja, o ímã direito está vermelho agora.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Tente ativar o ímã certo algumas vezes e veja se nada acontece. (Deslize para a direita)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Você vê, nada aconteceu. Agora tente deslizar em direções diferentes (para cima e para baixo). Vamos esperar até que o ímã se repare.
Done! After several moves, all magnets will be repaired.	Feito! Após vários movimentos, todos os ímãs serão reparados.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Agora vamos falar do lixo biológico (as sobras da maçã). Tente movê-lo.
Because bio garbage lacks magnetic materials, magnets can't move it.	Como o lixo biológico carece de materiais magnéticos, os ímãs não conseguem movê-lo.
Don't forget to sort your garbage! :)	Não se esqueça de separar seu lixo! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Este é um lixo enferrujado. Também não pode ser reciclado. O número indica quanto tempo leva para enferrujar e desaparecer.
Amazing! You've improved your recycling skills!	Incrível! Você melhorou suas habilidades de reciclagem!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Parabéns por adquirir a oficina! Vamos mergulhar em um tutorial rápido sobre como aproveitar ao máximo isso.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Combine detalhes simples instantaneamente de todas as áreas usando o workshop. Experimente agora!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	É muito legal, certo? Apenas tenha em mente o tempo de espera. Leva algum tempo, então use-o com sabedoria!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Seja cauteloso quando houver apenas um detalhe disponível para o workshop. Não será possível combiná-lo e apenas devolverá o item.
So, just use it carefully.	Então, basta usá-lo com cuidado.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	A oficina brilha quando você está cercado por detalhes simples e irritantes. É a ferramenta perfeita para organizar seu espaço com eficiência!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Parabéns por adquirir o guindaste! Aqui está um breve tutorial sobre como trabalhar com isso.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Para usar o guindaste, basta tocar no ícone. Agora você entrou no modo CRANE.
In CRANE mode, choose an item on the field that you'd like to interact with.	No modo CRANE, escolha um item no campo com o qual você gostaria de interagir.
Next, select an empty field where you want to move the chosen item.	A seguir, selecione um campo vazio para onde deseja mover o item escolhido.
Now, press on the crane once more to execute the action.	Agora pressione o guindaste mais uma vez para executar a ação.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	À medida que você atualiza, você ganhará a capacidade de alterar não apenas os campos vazios, mas também trocá-los por outros itens.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Não tenha medo de experimentar! Se você encontrar um erro, o jogo fornecerá uma indicação. {#}Tente causar um erro (por exemplo, clique em duas células vazias).
This is the error indication.	Esta é a indicação de erro.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	E por último, mas não menos importante, tente desmarcar. Para isso, pressione o item previamente selecionado ou a grua (caso ainda não tenha selecionado a segunda célula).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Parabéns por atualizar sua cerca! Vamos ver do que ele é capaz agora.
To use the fence, click on one of the blue (cyan) objects around the field.	Para usar a cerca, clique em um dos objetos azuis (ciano) ao redor do campo.
Swipe the chosen object(s) towards the fence you've initiated.	Passe o(s) objeto(s) escolhido(s) em direção à cerca que você iniciou.
Fences usually need some time before you can use them again, so plan your moves accordingly.	As cercas geralmente precisam de algum tempo antes que você possa usá-las novamente, então planeje seus movimentos de acordo.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	A cerca hidráulica é uma virada de jogo – ela pode lidar com todos os tipos de lixo, mesmo os não magnéticos.
It's your go-to tool for bio-garbage removal. Give it a shot!	É a sua ferramenta ideal para remoção de lixo biológico. Experimente!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Você acabou de comprar uma atualização, que representa aproximadamente 10% do que é necessário para aumentar o tamanho do campo!
Keep up! :D	Manter-se! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Você receberá resíduos orgânicos com probabilidade de {#prob}%
You will recive rust debris with probabiliy of {#prob}%	Você receberá detritos de ferrugem com probabilidade de {#prob}%
The probability of obtaining an improved detail is {#prob}%	A probabilidade de obter um detalhe melhorado é {#prob}%
The probability of successfully merging two details is approximately {#prob}%	A probabilidade de mesclar dois detalhes com sucesso é de aproximadamente {#prob}%
Magnets will break with a probability of {#prob}%	Os ímãs quebrarão com uma probabilidade de {#prob}%
More details will drop on the field after {#move} moves	Mais detalhes aparecerão no campo após os movimentos de {#move}
No Workshop	Sem oficina
Collects {#cell1}. Cooldown time:	Coleta {#cell1}. Tempo de espera:
Collects {#cell1} and {#cell2}. Cooldown time:	Coleta {#cell1} e {#cell2}. Tempo de espera:
No Crane	Sem guindaste
Move items up to {#cell3}.	Mova os itens até {#cell3}.
Move items up to {#cell6}.	Mova os itens até {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Mova itens até {#cell6} e troque-os por itens até {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Mova itens até {#cell11} e troque-os por itens até {#cell6}.
Move anything and swap it with items up to {#cell9}.	Mova qualquer coisa e troque por itens até {#cell9}.
Move and swap anything!	Mova e troque qualquer coisa!
Simple fence	Cerca simples
Available again after following number of moves: {#move}	Disponível novamente após o seguinte número de movimentos: {#move}
Details failed to merge!	Os detalhes não foram mesclados!
Warning! Languages besides English could have some errors (and English also, lol)	Aviso! Idiomas além do inglês podem ter alguns erros (e o inglês também, haha)
The game was saved. You can exit, and resume it later	O jogo foi salvo. Você pode sair e retomar mais tarde
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Um guindaste é uma ferramenta que permite realocar objetos no campo. A versão básica funciona apenas arrastando objetos leves para um local vazio. Com as atualizações, você pode arrastar itens mais complexos e até trocar dois objetos. Para utilizá-lo, clique no ícone do guindaste, selecione o objeto e selecione o local onde deseja colocá-lo.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Cansado de peças simples mexendo em suas construções avançadas? Use a oficina!{#}Oficina - um pequeno prédio separado onde é possível o processamento manual de peças simples. Quanto mais alto o nível da oficina, mais peças ela pode processar. Além disso, a melhoria permite que você a use com mais frequência.{#}Para usá-la, clique no ícone da oficina, a menos que ela esteja em espera.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Você viu aquela coisa nos cantos do seu campo? Que tal torná-lo útil? Melhore sua cerca adicionando a capacidade de abri-la!{#}Permite que você se livre de detritos não mecânicos. Outras melhorias nas bombas são possíveis, permitindo o uso da cerca hidráulica com mais frequência.{#}Para usar, clique na seção desejada da cerca e puxe as peças nessa direção. Todas as partes da linha onde a cerca está aberta serão descartadas. Lembre-se: segurança em primeiro lugar!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Infelizmente, nem todos são responsáveis ​​pela triagem dos resíduos. Às vezes, os contêineres com lixo encontram pedaços de madeira, resíduos e outros tipos de lixo comum.{#}Instale equipamentos de triagem adicionais e reduza a porcentagem de detritos não mecânicos a zero.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	As mudanças climáticas globais e até mesmo as chuvas no deserto tornaram-se comuns. Talvez para alguém seja até útil, mas algumas peças podem enferrujar, impossibilitando sua reciclagem. O reforço da impermeabilização reduz a probabilidade de corrosão das peças.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Quer acelerar o processo de reciclagem? Adicione uma unidade de pré-montagem ao seu transportador! Com ele instalado, algumas partes descartadas ficarão mais avançadas.{#}Essa atualização é obrigatória se você quiser aumentar o tamanho do seu campo.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Nada é perfeito. Também se aplica ao processo de montagem. Você notou que às vezes as peças quebram durante a fusão? Felizmente, posso garantir que isso afeta apenas a montagem do motor – peças mais complicadas não são problema. Mas ainda é chato, certo?{#}Mas você pode tornar esse processo mais confiável calibrando seu equipamento.{#}Essa atualização é obrigatória se você quiser aumentar o tamanho do seu campo.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Prós de empilhar itens em desertos – eles não enferrujam muito em ambientes secos. Contras: pode estar muito quente aqui.{#}Quanto mais você trabalha, mais tempo precisa esperar entre cada reciclagem, permitindo que seu equipamento retorne a uma temperatura adequada. Isso faz com que mais itens se acumulem entre seus movimentos. Você pode atualizar o sistema de resfriamento, proporcionando mais tempo para reciclagem.{#}Essa atualização é obrigatória se você quiser aumentar o tamanho do seu campo.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	Os eletroímãs DIY às vezes podem falhar. Melhore-os para reduzir o mau funcionamento.{#}Esta atualização é obrigatória se você quiser aumentar o tamanho do seu campo.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Você já se perguntou por que tenho um campo tão pequeno? Não é inconveniente trabalhar com grandes construções? A solução é simples – expanda o tamanho do seu campo! {#}Observe que antes de expandir, você precisa ter certeza de que as seguintes atualizações foram totalmente adquiridas: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} e {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	O tamanho do nível que você selecionou no menu principal é diferente do seu jogo salvo. Você pode encerrar o jogo salvo e iniciar um novo, se quiser.{#}O que você deseja fazer com o jogo salvo?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Um ferro-velho no meio do deserto. Pode-se dizer que é o lugar perfeito para armazenar sucata de metal - muito espaço livre e clima seco. Embora não mais. No ano de 2048, o clima realmente enlouqueceu.{#}Não escolhi passar minha vida aqui. Não sou rico, e as fronteiras estão fechadas para pessoas como eu. Quando eu era criança, sonhava em conquistar o espaço. E agora, me vejo preso no meio do nada.{#}Então, a única opção é trabalhar. E eu nunca recuso ajuda, estou feliz em encontrar você aqui. Com você, sei que um dia alcançarei o espaço.{#}Então, que tal isso: trabalhamos juntos, reciclamos o máximo de peças que pudermos e nos ajudamos a tornar nossas vidas melhores. Negócio?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Você acabou de terminar o jogo!{#}Os desenvolvedores do USAly colocam aqui uma longa lista de nomes de trabalhadores. Mas este jogo foi desenvolvido apenas por mim (Gleb The Polar Citizen).{#}Quero agradecer à minha esposa, dar um agradecimento especial à Anna M. pelo lindo carro e a todos os tradutores!!{#}Se você quiser , você pode continuar jogando este jogo ou procurar outros jogos que desenvolvi!{#}Fique forte!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Sem anúncios
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Você pode comprar esta atualização para remover anúncios básicos.{#}Isso não afetará anúncios revisados!{#}O botão para duplicar pontuações ainda estará disponível. Portanto, isso afetará apenas os anúncios exibidos após o jogo.{#}Além disso, se você estiver apenas procurando uma maneira de me apoiar, é melhor visitar buymeacoffe — o botão de coração, localizado junto aos botões de mídia.
