en	in
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Kelebihan menumpuk barang di gurun - barang tidak banyak berkarat di lingkungan kering. Kekurangan - cuaca di sini bisa sangat panas.{#}Semakin banyak Anda bekerja, semakin banyak waktu yang Anda perlukan untuk menunggu di antara setiap daur ulang, sehingga peralatan Anda dapat kembali ke suhu yang sesuai. Ini menyebabkan lebih banyak item terakumulasi di antara gerakan Anda. Anda dapat meningkatkan versi sistem pendingin, sehingga memberikan waktu daur ulang yang lebih lama.{#}Peningkatan ini wajib dilakukan, jika Anda ingin menambah ukuran lahan Anda.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	Elektromagnet buatan sendiri terkadang bisa gagal. Perbaiki, untuk mengurangi malfungsi.{#}Peningkatan ini wajib dilakukan jika Anda ingin menambah ukuran bidang Anda.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Pernahkah Anda bertanya pada diri sendiri, mengapa lahan saya begitu kecil? Bukankah tidak nyaman bekerja dengan bangunan besar? Solusinya sederhana - perluas ukuran bidang Anda! {#}Perhatikan, sebelum memperluas, Anda perlu memastikan bahwa upgrade berikut telah dibeli sepenuhnya: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} dan {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Ukuran level yang Anda pilih di menu utama, berbeda dengan game simpanan Anda. Anda dapat mengakhiri tujuh permainan dan memulai yang baru, jika Anda mau.{#}Apa yang ingin Anda lakukan dengan permainan yang disimpan tersebut?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Sebuah tempat pembuangan di tengah padang gurun. Anda bisa mengatakan bahwa itu adalah tempat yang sempurna untuk menyimpan sampah logam - banyak ruang kosong dan cuaca kering. Meski tidak lagi. Pada tahun 2048, cuaca benar-benar menjadi gila.{#}Saya tidak memilih untuk menghabiskan hidup saya di sini. Saya tidak kaya, dan perbatasan ditutup untuk orang seperti saya. Ketika saya masih kecil, saya bermimpi untuk menaklukkan ruang angkasa. Dan sekarang, saya terjebak di tengah-tengah tidak ada tempat.{#}Jadi satu-satunya pilihan adalah bekerja. Dan saya tidak pernah menolak bantuan, saya senang menemukan Anda di sini. Dengan Anda, saya tahu bahwa suatu hari saya akan mencapai ruang angkasa.{#}Jadi, bagaimana menurut Anda: Mari kita bekerja sama, daur ulang sebanyak mungkin bagian, dan membantu satu sama lain membuat hidup kita lebih baik. Setuju?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Anda baru saja menyelesaikan permainan!{#}Pengembang biasanya menempatkan di sini daftar panjang nama pekerja. Namun game ini hanya dikembangkan oleh saya (Gleb The Polar Citizen).{#}Saya ingin mengucapkan terima kasih kepada istri saya, memberikan terima kasih khusus kepada Anna M. atas mobilnya yang luar biasa, dan kepada semua penerjemah!!{#}Jika Anda mau , kamu bisa terus memainkan game ini atau mencari game lain yang saya kembangkan!{#}Tetap kuat!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Tanpa iklan
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Anda dapat membeli peningkatan ini untuk penghapusan iklan dasar.{#}Ini tidak akan memengaruhi iklan penghargaan!{#}Tombol untuk menggandakan skor akan tetap tersedia. Jadi ini hanya akan memengaruhi iklan yang muncul setelah pertandingan.{#}Selain itu, jika Anda baru saja mencari cara untuk mendukung saya, sebaiknya pertimbangkan untuk mengunjungi buymeacoffe — tombol hati, yang terletak di tombol media.
