en	es
Move items up to {#cell6}.	Mover elementos hasta {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Mueva elementos hasta {#cell6} e intercámbielos con elementos hasta {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Mueva elementos hasta {#cell11} e intercámbielos con elementos hasta {#cell6}.
Move anything and swap it with items up to {#cell9}.	Mueve cualquier cosa e intercámbiala con elementos hasta {#cell9}.
Move and swap anything!	¡Muévete e intercambia cualquier cosa!
Simple fence	valla sencilla
Available again after following number of moves: {#move}	Disponible nuevamente después de la siguiente cantidad de movimientos: {#move}
Details failed to merge!	¡Los detalles no pudieron fusionarse!
Warning! Langueages besides English could have some errors (and English also, lol)	¡Advertencia! Otros idiomas además del inglés pueden tener algunos errores (y el inglés también, jajaja)
The game was saved. You can exit, and resume it later	El juego fue salvado. Puedes salir y reanudarlo más tarde.
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Una grúa es una herramienta que permite reubicar objetos en el campo. La versión básica funciona sólo arrastrando objetos ligeros a un lugar vacío. Con las actualizaciones, puedes arrastrar elementos más complejos e incluso intercambiar dos objetos. Para usarlo, haga clic en el icono de la grúa, seleccione el objeto y seleccione el lugar donde desea colocarlo.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	¿Estás cansado de que las piezas simples interfieran con tus construcciones avanzadas? ¡Usa el taller!{#}Taller: un pequeño edificio separado donde es posible el procesamiento manual de piezas simples. Cuanto mayor sea el nivel del taller, más piezas podrá procesar. Además, la mejora te permite usarlo con más frecuencia.{#}Para usarlo, haz clic en el ícono del taller a menos que esté en tiempo de reutilización.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	¿Viste esa cosa en las esquinas de tu campo? ¿Qué tal si lo hacemos útil? ¡Mejora tu cerca agregando la capacidad de abrirla!{#}Te permite deshacerte de escombros no mecánicos. Es posible realizar mejoras adicionales a las bombas, lo que permitirá el uso de la guía hidráulica con mayor frecuencia.{#}Para usarla, haga clic en la sección deseada de la guía y tire de las piezas en esa dirección. Todas las partes de la fila donde está abierta la cerca se desecharán. Recuerde: ¡la seguridad es lo primero!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Lamentablemente, no todo el mundo es responsable de clasificar los residuos. A veces, los contenedores con basura se encuentran con trozos de madera, desechos y otra basura común.{#}Instale equipos de clasificación adicionales y reduzca el porcentaje de desechos no mecánicos a cero.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	El cambio climático global, e incluso en el desierto, las lluvias se han vuelto comunes. Quizás para alguien sea incluso útil, pero algunas piezas pueden oxidarse, haciendo imposible su reciclaje. El refuerzo de la impermeabilización reduce la probabilidad de corrosión de las piezas.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	¿Quiere acelerar el proceso de reciclaje? ¡Agregue una unidad de premontaje a su transportador! Una vez instalado, algunas piezas eliminadas serán más avanzadas.{#}Esta actualización es obligatoria si desea aumentar el tamaño de su campo.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Nada es perfecto. También se aplica al proceso de montaje. ¿Has notado que a veces las piezas se rompen durante la fusión? Afortunadamente, puedo asegurarles que sólo afecta al montaje del motor. Las piezas más complicadas no son un problema. Pero sigue siendo molesto, ¿verdad?{#}Pero puedes hacer que este proceso sea más confiable calibrando tu equipo.{#}Esta actualización es obligatoria si deseas aumentar el tamaño de tu campo.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Ventajas de apilar artículos en los desiertos: no se oxidan mucho en ambientes secos. Desventajas: puede hacer mucho calor aquí.{#}Cuanto más trabaje, más tiempo deberá esperar entre cada reciclaje, lo que permitirá que su equipo vuelva a una temperatura adecuada. Esto hace que se acumulen más elementos entre tus movimientos. Puede actualizar el sistema de enfriamiento, lo que le brindará más tiempo para reciclar.{#}Esta actualización es obligatoria si desea aumentar el tamaño de su campo.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	Los electroimanes de bricolaje a veces pueden fallar. Mejórelos para reducir el mal funcionamiento.{#}Esta actualización es obligatoria si desea aumentar el tamaño de su campo.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	¿Alguna vez te has preguntado por qué tengo un campo tan pequeño? ¿No es inconveniente trabajar con construcciones grandes? La solución es simple: ¡amplíe el tamaño de su campo! {#}Tenga en cuenta que antes de expandirse, debe asegurarse de haber adquirido en su totalidad las siguientes actualizaciones: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} y {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	El tamaño del nivel que has seleccionado en el menú principal difiere de tu juego guardado. Puedes finalizar un juego guardado y comenzar uno nuevo, si lo deseas.{#}¿Qué quieres hacer con el juego guardado?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Un desguace en medio del desierto. Podrías decir que es el lugar perfecto para almacenar chatarra de metal: mucho espacio libre y clima seco. Aunque ya no. En el año 2048, el clima realmente se volvió loco.{#}No elegí pasar mi vida aquí. No soy rico, y las fronteras están cerradas para personas como yo. Cuando era niño, soñaba con conquistar el espacio. Y ahora, me encuentro atrapado en medio de la nada.{#}Entonces, la única opción es trabajar. Y nunca rechazo la ayuda, estoy feliz de encontrarte aquí. Contigo, sé que algún día llegaré al espacio.{#}Entonces, ¿qué te parece esto: trabajamos juntos, reciclamos tantas piezas como podamos y nos ayudamos mutuamente a mejorar nuestras vidas. ¿Trato?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	¡Acabas de terminar el juego!{#}Los desarrolladores estadounidenses colocan aquí una larga lista de nombres de trabajadores. Pero este juego fue desarrollado solo por mí (Gleb The Polar Citizen).{#}¡Quiero agradecer a mi esposa, darle un agradecimiento especial a Anna M. por el increíble auto y a todos los traductores!{#}Si quieres , ¡puedes seguir jugando a este juego o buscar otros juegos que desarrollé!{#}¡Mantente fuerte!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Sin anuncios
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Puede comprar esta actualización para eliminar anuncios básicos.{#}¡No afectará a los anuncios revard!{#}El botón para duplicar puntuaciones seguirá estando disponible. Por lo tanto, afectará solo a los anuncios que aparecen después del juego.{#}Además, si estás buscando una manera de apoyarme, mejor considera visitar buymeacoffe, el botón del corazón, ubicado con los botones multimedia.
