en	ms
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Pernahkah anda bertanya kepada diri sendiri, mengapa saya mempunyai bidang yang kecil? Bukankah ia menyusahkan untuk bekerja dengan binaan besar? Penyelesaiannya mudah - kembangkan saiz medan anda! {#}Perhatikan, sebelum mengembangkan, anda perlu memastikan bahawa peningkatan berikut dibeli sepenuhnya: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} dan {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Saiz tahap yang telah anda pilih dalam manu utama, adalah berbeza daripada permainan anda yang disimpan. Anda boleh menamatkan permainan seved dan memulakan permainan baharu, jika anda mahu.{#}Apakah yang anda mahu lakukan dengan permainan yang disimpan?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Tempat sampah di tengah padang pasir. Anda boleh katakan ia adalah tempat yang sesuai untuk menyimpan sisa logam - banyak ruang kosong dan cuaca kering. Padahal tidak lagi. Pada tahun 2048 cuaca menjadi sangat teruk.{#}Saya tidak memilih untuk menghabiskan hidup saya di sini. Saya tidak kaya, dan sempadan ditutup untuk orang seperti saya. Semasa saya kecil, saya bermimpi untuk menakluki angkasa. Dan sekarang, saya mendapati diri saya terperangkap di tengah-tengah kekosongan.{#}Jadi satu-satunya pilihan ialah bekerja. Dan saya tidak pernah menolak bantuan, saya gembira dapat menemui awak di sini. Dengan anda, saya tahu, suatu hari nanti saya akan pergi ke angkasa lepas.{#}Jadi, bagaimana pula dengan ini: kita bekerjasama, mengitar semula seberapa banyak bahagian yang boleh dan membantu antara satu sama lain untuk menjadikan hidup kita lebih baik. perjanjian?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Anda baru sahaja menamatkan permainan!{#}Biasanya pembangun meletakkan di sini senarai panjang nama pekerja. Tetapi permainan ini dibangunkan hanya oleh saya (Gleb The Polar Citizen).{#}Saya ingin mengucapkan terima kasih kepada isteri saya, ucapkan terima kasih khas kepada Anna M. untuk kereta yang hebat dan kepada semua penterjemah!!{#}Jika anda mahu , anda boleh terus bermain permainan ini atau cari permainan lain yang saya hasilkan!{#}Kekal kuat!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Tiada iklan
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Anda boleh membeli peningkatan ini untuk mengalih keluar iklan asas.{#}Ia tidak akan menjejaskan iklan revard!{#}Butang untuk menggandakan markah masih tersedia. Jadi ia hanya akan menjejaskan iklan, yang muncul selepas permainan.{#}Selain itu, saya yang sedang mencari jalan untuk menyokong saya, lebih baik pertimbangkan untuk melawat buymeacoffe — butang jantung, terletak dengan butang media.
<!-- Warning! Spoilers below! For safety reasons, I will protect them with some comments, so you will not spoil the game for yourself unless you want so (thank Ehloi for helping to keep all spoilers out) -->																																													
<!-- Spoilers in 20 rows-->																																													
<!-- Spoilers in 19 rows-->																																													
<!-- Spoilers in 18 rows-->																																													
<!-- Spoilers in 17 rows-->																																													
<!-- Spoilers in 16 rows-->																																													
<!-- Spoilers in 15 rows-->																																													
<!-- Spoilers in 14 rows-->																																													
<!-- Spoilers in 13 rows-->																																													
<!-- Spoilers in 12 rows-->																																													
<!-- Spoilers in 11 rows-->																																													
<!-- Spoilers in 10 rows-->																																													
<!-- Spoilers in 9 rows-->																																													
<!-- Spoilers in 8 rows-->																																													
<!-- Spoilers in 7 rows-->																																													
<!-- Spoilers in 6 rows-->																																													
<!-- Spoilers in 5 rows-->																																													
<!-- Spoilers in 4 rows-->																																													
<!-- Spoilers in 3 rows-->																																													
<!-- Spoilers in 2 rows-->																																													
<!-- Spoilers in 1 row -->																																													
<!-- SPOILERS!!!! -->																																													
Pickup	Pickup
Truck	Lori
Biplane	biplane
Helicopter	Helikopter
Plane	kapal terbang
AN-225 Mriya	AN-225 Mriya
Rocket engine	Enjin roket
Soyuz	Soyuz
Rocket	Roket
