en	cs
More details will drop on the field after {#move} moves	Další podrobnosti vyskočí na pole po {#move} tazích
No Workshop	Žádný workshop
Collects {#cell1}. Cooldown time:	Sbírá {#cell1}. Doba ochlazení:
Collects {#cell1} and {#cell2}. Cooldown time:	Shromažďuje {#cell1} a {#cell2}. Doba ochlazení:
No Crane	Žádný jeřáb
Move items up to {#cell3}.	Přesunout položky nahoru do {#cell3}.
Move items up to {#cell6}.	Přesunout položky nahoru do {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Přesuňte položky až do {#cell6} a zaměňte je za položky až do {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Přesuňte položky až do {#cell11} a vyměňte je za položky až do {#cell6}.
Move anything and swap it with items up to {#cell9}.	Přesuňte cokoli a vyměňte to za položky až do {#cell9}.
Move and swap anything!	Přesuňte a vyměňte cokoli!
Simple fence	Jednoduchý plot
Available again after following number of moves: {#move}	Znovu k dispozici po následujícím počtu tahů: {#move}
Details failed to merge!	Podrobnosti se nepodařilo sloučit!
Warning! Langueages besides English could have some errors (and English also, lol)	Varování! Jazyky kromě angličtiny mohou mít nějaké chyby (a angličtina také, lol)
The game was saved. You can exit, and resume it later	Hra byla uložena. Můžete ukončit a pokračovat později
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Jeřáb je nástroj, který umožňuje přemisťovat předměty na poli. Základní verze funguje pouze přetažením světlých objektů na prázdné místo. S upgrady můžete přetahovat složitější předměty a dokonce vyměnit dva objekty. Chcete-li jej použít, klikněte na ikonu jeřábu, vyberte objekt a vyberte místo, kam jej chcete umístit.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Už vás nebaví jednoduché díly, které se pletou s vašimi pokročilými stavbami? Využijte dílnu!{#}Dílna – malá samostatná budova, kde je možné ruční zpracování jednoduchých dílů. Čím vyšší úroveň dílny, tím více dílů dokáže zpracovat. Vylepšení vám také umožňuje používat ji častěji.{#}Chcete-li ji použít, klikněte na ikonu dílny, pokud není v cooldownu.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Viděl jsi tu věc za rohy svého pole? Co takhle udělat to užitečné? Vylepšete svůj plot přidáním možnosti jeho otevření!{#}Umožňuje vám zbavit se nemechanických nečistot. Jsou možná další vylepšení čerpadel, která umožňují častější používání hydraulického oplocení.{#}Chcete-li jej použít, klikněte na požadovanou část ohradníku a vytáhněte díly tímto směrem. Všechny části v řadě, kde je plot otevřený, budou vyhozeny. Pamatujte: bezpečnost na prvním místě!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Bohužel ne každý je zodpovědný za třídění odpadu. Někdy se v kontejnerech s odpadky setkají kusy dřeva, odpad a další běžné odpadky.{#}Nainstalujte další třídicí zařízení a snižte procento nemechanického odpadu na nulu.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Globální změny klimatu a dokonce i v poušti se deště staly běžnými. Možná pro někoho je to dokonce užitečné, ale některé části mohou rezivět, což znemožňuje jejich recyklaci. Posílení hydroizolace snižuje pravděpodobnost koroze dílů.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Chcete urychlit proces recyklace? Přidejte do svého transportéru předmontážní jednotku! Po instalaci budou některé vypuštěné části pokročilejší.{#}Tento upgrade je povinný, pokud chcete zvětšit velikost svého pole.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Nic není perfektní. Platí to i pro proces montáže. Všimli jste si, že se někdy části při slučování zlomí? Naštěstí vás mohu ujistit, že se to týká pouze montáže motoru - složitější díly nejsou problém. Ale stále otravné, že?{#}Tento proces však můžete učinit spolehlivějším, když zkalibrujete své vybavení.{#}Tento upgrade je povinný, pokud chcete zvětšit velikost svého pole.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Výhody stohování předmětů v pouštích – v suchém prostředí moc nerezaví. Nevýhody – může tu být opravdu horko.{#}Čím více pracujete, tím více času musíte mezi jednotlivými recyklacemi čekat, aby se vaše zařízení vrátilo na vhodnou teplotu. To vede k tomu, že se mezi vašimi tahy hromadí více předmětů. Chladicí systém můžete upgradovat a získat tak delší dobu na recyklaci.{#}Tento upgrade je povinný, pokud chcete zvětšit velikost svého pole.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	DIY elektromagnety mohou někdy selhat. Vylepšete je, abyste snížili počet poruch.{#}Tento upgrade je povinný, pokud chcete zvětšit velikost svého pole.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Ptali jste se někdy sami sebe, proč mám tak malé pole? Není to nepohodlné pracovat s velkými stavbami? Řešení je jednoduché – zvětšete velikost pole! {#}Upozorňujeme, že před rozšířením se musíte ujistit, že jsou plně zakoupeny následující upgrady: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} a {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Velikost úrovně, kterou jste vybrali v hlavní nabídce, se liší od vaší uložené hry. Pokud chcete, můžete sedmou hru ukončit a začít novou.{#}Co ​​chcete s uloženou hrou dělat?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Skládka uprostřed pouště. Řekli byste, že je to ideální místo pro skladování kovových odpadků - spousta volného místa a suchého počasí. I když už ne. V roce 2048 se počasí opravdu změnilo doopravdy bláznivé.{#}Nevybral jsem si strávit svůj život tady. Nejsem bohatý a hranice jsou uzavřené pro lidi jako já. Když jsem byl dítě, snil jsem o dobytí vesmíru. A teď se nacházím uvězněný uprostřed ničeho.{#}Takže jediná možnost je pracovat. A nikdy neodmítnu pomoc, jsem rád, že jsem tě tady našel. S tebou vím, že se jednoho dne dostanu do vesmíru.{#}Tak co říkáš na tohle: pracujeme společně, recyklujeme co nejvíce dílů, jak jen to jde, a pomáháme si navzájem zlepšit naše životy. Smluveno?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Právě jste dokončili hru!{#}Vývojáři Usaly sem umístili dlouhý seznam jmen pracovníků. Ale tuto hru jsem vyvinul pouze já (Gleb The Polar Citizen).{#}Chci poděkovat své ženě, zvlášť poděkovat Anně M. za úžasné auto a všem překladatelům!!{#}Pokud chcete , můžete pokračovat ve hraní této hry nebo hledat jiné hry, které jsem vyvinul!{#}Zůstaňte silní!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Žádné reklamy
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Tento upgrade si můžete zakoupit za odstranění základních reklam.{#}Nebude to mít vliv na reklamy s revardem!{#}Tlačítko pro zdvojnásobení skóre bude stále dostupné. Takže to ovlivní pouze reklamy, které se zobrazují po hře.{#}Také, když právě hledáte způsob, jak mě podpořit, raději zvažte návštěvu buymeacoffe — tlačítka srdce, které se nachází s tlačítky médií.
<!-- Warning! Spoilers below! For safety reasons, I will protect them with some comments, so you will not spoil the game for yourself unless you want so (thank Ehloi for helping to keep all spoilers out) -->																																													
<!-- Spoilers in 20 rows-->																																													
<!-- Spoilers in 19 rows-->																																													
<!-- Spoilers in 18 rows-->																																													
<!-- Spoilers in 17 rows-->																																													
<!-- Spoilers in 16 rows-->																																													
<!-- Spoilers in 15 rows-->																																													
<!-- Spoilers in 14 rows-->																																													
<!-- Spoilers in 13 rows-->																																													
<!-- Spoilers in 12 rows-->																																													
<!-- Spoilers in 11 rows-->																																													
<!-- Spoilers in 10 rows-->																																													
<!-- Spoilers in 9 rows-->																																													
<!-- Spoilers in 8 rows-->																																													
<!-- Spoilers in 7 rows-->																																													
<!-- Spoilers in 6 rows-->																																													
<!-- Spoilers in 5 rows-->																																													
<!-- Spoilers in 4 rows-->																																													
<!-- Spoilers in 3 rows-->																																													
<!-- Spoilers in 2 rows-->																																													
<!-- Spoilers in 1 row -->																																													
<!-- SPOILERS!!!! -->																																													
Pickup	Vyzvednout
Truck	Náklaďák
Biplane	Dvojplošník
Helicopter	Helikoptéra
Plane	Letadlo
AN-225 Mriya	AN-225 Mriya
Rocket engine	Raketový motor
Soyuz	Sojuz
Rocket	Raketa
