en	af
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Baie geluk met die verkryging van die werkswinkel! Kom ons duik in 'n vinnige handleiding oor hoe om die meeste daarvan te maak.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Kombineer eenvoudige besonderhede onmiddellik uit alle velde deur die werkswinkel te gebruik. Probeer dit nou!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Dis nogal gaaf, reg? Hou net die afkoeling in gedagte. Dit neem 'n rukkie, so gebruik dit verstandig!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Wees versigtig wanneer daar net een detail vir die werkswinkel beskikbaar is. Dit sal dit nie kan kombineer nie en sal net die item terugstuur.
So, just use it carefully.	So, gebruik dit net versigtig.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Die werkswinkel skyn wanneer jy omring word deur irriterende eenvoudige besonderhede. Dit is die perfekte hulpmiddel om jou spasie doeltreffend op te ruim!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Baie geluk met die aankoop van die hyskraan! Hier is 'n kort handleiding oor hoe om daarmee te werk.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Om die hyskraan te gebruik, tik eenvoudig op die ikoon. Nou het jy die CRANE-modus betree.
In CRANE mode, choose an item on the field that you'd like to interact with.	In CRANE-modus, kies 'n item op die veld waarmee jy interaksie wil hê.
Next, select an empty field where you want to move the chosen item.	Kies dan 'n leë veld waarheen jy die gekose item wil skuif.
Now, press on the crane once more to execute the action.	Druk nou weer op die hyskraan om die aksie uit te voer.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Soos jy opgradeer, sal jy die vermoë kry om nie net na leë velde te verander nie, maar dit ook met ander items om te ruil.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Moenie bang wees om te eksperimenteer nie! As jy 'n fout teëkom, sal die speletjie 'n aanduiding gee. {#}Probeer om 'n fout te veroorsaak (klik bv. op 2 leë selle).
This is the error indication.	Dit is die foutaanduiding.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	En laastens, maar nie die minste nie, probeer om te ontkies. Om dit te doen, druk op die voorheen geselekteerde item, of op die hyskraan (as jy nog nie die tweede sel gekies het nie).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Baie geluk met die opgradering van jou heining! Kom ons kyk waartoe dit nou in staat is.
To use the fence, click on one of the blue (cyan) objects around the field.	Om die heining te gebruik, klik op een van die blou (sian) voorwerpe rondom die veld.
Swipe the chosen object(s) towards the fence you've initiated.	Swiep die gekose voorwerp(e) na die heining wat jy begin het.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Heinings het gewoonlik tyd nodig voordat jy dit weer kan gebruik, so beplan jou bewegings daarvolgens.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Die hidrouliese heining is 'n speletjie-wisselaar—dit kan allerhande vullis hanteer, selfs nie-magnetiese vullis.
It's your go-to tool for bio-garbage removal. Give it a shot!	Dit is jou beste hulpmiddel vir die verwydering van bio-vullis. Gee dit 'n kans!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Jy het sopas een opgradering gekoop, dit is ~10% van wat nodig is om veldgrootte te vergroot!
Keep up! :D	Hou so aan! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Jy sal organiese afval met waarskynlikheid van {#prob}% ontvang
You will recive rust debris with probabiliy of {#prob}%	Jy sal roesrommel met waarskynlikheid van {#prob}% ontvang
The probability of obtaining an improved detail is {#prob}%	Die waarskynlikheid om 'n verbeterde detail te kry is {#prob}%
The probability of successfully merging two details is approximately {#prob}%	Die waarskynlikheid om twee besonderhede suksesvol saam te voeg is ongeveer {#prob}%
Magnets will break with a probability of {#prob}%	Magnete sal breek met 'n waarskynlikheid van {#prob}%
More details will drop on the field after {#move} moves	Meer besonderhede sal op die veld verskyn na {#move} skuiwe
No Workshop	Geen werkswinkel nie
Collects {#cell1}. Cooldown time:	Versamel {#cell1}. Afkoeltyd:
Collects {#cell1} and {#cell2}. Cooldown time:	Versamel {#cell1} en {#cell2}. Afkoeltyd:
No Crane	Geen Kraanvoël nie
Move items up to {#cell3}.	Skuif items op na {#cell3}.
Move items up to {#cell6}.	Skuif items op na {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Skuif items op na {#cell6}, en ruil dit om met items tot by {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Skuif items op na {#cell11}, en ruil dit om met items tot by {#cell6}.
Move anything and swap it with items up to {#cell9}.	Skuif enigiets en ruil dit om met items tot by {#cell9}.
Move and swap anything!	Beweeg en ruil enigiets!
Simple fence	Eenvoudige heining
Available again after following number of moves: {#move}	Weer beskikbaar na die volgende aantal skuiwe: {#move}
Details failed to merge!	Besonderhede kon nie saamsmelt nie!
Warning! Langueages besides English could have some errors (and English also, lol)	Waarskuwing! Tale behalwe Engels kan 'n paar foute hê (en Engels ook, lol)
The game was saved. You can exit, and resume it later	Die wedstryd is gered. Jy kan uitgaan en dit later hervat
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	’n Hyskraan is ’n gereedskap waarmee jy voorwerpe op die veld kan hervestig. Die basiese weergawe werk slegs deur ligte voorwerpe na 'n leë plek te sleep. Met opgraderings kan jy meer komplekse items sleep, en selfs twee voorwerpe omruil. Om dit te gebruik, klik op die hyskraanikoon, kies die voorwerp en kies 'n plek waar jy dit wil plaas.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Moeg vir eenvoudige onderdele wat met jou gevorderde bouwerk rondmors? Gebruik die werkswinkel!{#}Werkwinkel - 'n klein afgesonderde gebou waar handmatige verwerking van eenvoudige dele moontlik is. Hoe hoër die vlak van die werkswinkel, hoe meer dele kan dit verwerk. Die verbetering laat jou ook toe om dit meer gereeld te gebruik.{#}Om te gebruik, klik op die werkswinkel-ikoon tensy dit op afkoeling is.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Het jy daardie ding om jou veldhoeke gesien? Wat daarvan om dit nuttig te maak? Verbeter jou heining deur die vermoë by te voeg om dit oop te maak!{#}Laat jou toe om van nie-meganiese puin ontslae te raak. Verdere verbeterings aan die pompe is moontlik, wat die gebruik van die hidrouliese heining meer gereeld moontlik maak.{#}Om te gebruik, klik op die verlangde gedeelte van die heining en trek die dele in daardie rigting. Alle dele in die ry waar die heining oop is, sal weggegooi word. Onthou: veiligheid eerste!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Ongelukkig is nie almal verantwoordelik vir die sortering van afval nie. Soms kom houers met vullis op houtstukke, afval en ander gewone vullis af.{#}Installeer bykomende sorteertoerusting en verminder die persentasie nie-meganiese rommel tot nul.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Wêreldwye klimaatsverandering, en selfs in die woestyn reën het algemeen geword. Miskien vir iemand is dit selfs nuttig, maar sommige dele kan roes, wat dit onmoontlik maak om dit te herwin. Versterking van waterdigting verminder die waarskynlikheid van korrosie van dele.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Wil jy die herwinningsproses bespoedig? Voeg 'n voorafsamestelling-eenheid by jou vervoerder! Met dit geïnstalleer, sal sommige dele wat afgelaai is meer gevorderd wees.{#}Hierdie opgradering is verpligtend as jy die grootte van jou veld wil vergroot.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Niks is perfek nie. Dit geld ook vir die monteerproses. Het jy opgelet dat dele soms breek tydens samesmelting? Gelukkig kan ek jou verseker dat dit net die samestelling van die enjin raak - meer ingewikkelde onderdele is geen probleem nie. Maar steeds irriterend, reg?{#}Maar jy kan hierdie proses meer betroubaar maak deur jou toerusting te kalibreer.{#}Hierdie opgradering is verpligtend as jy die grootte van jou veld wil vergroot.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Voordele van die stapel van items in woestyne – dit roes nie veel in droë omgewings nie. Nadele - dit kan baie warm hier wees.{#}Hoe meer jy werk, hoe meer tyd moet jy wag tussen elke herwinning, sodat jou toerusting na 'n gepaste temperatuur kan terugkeer. Dit lei daartoe dat meer items tussen jou bewegings ophoop. Jy kan die verkoelingstelsel opgradeer, wat vir jouself langer tyd gee vir herwinning.{#}Hierdie opgradering is verpligtend as jy die grootte van jou veld wil vergroot.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	DIY elektromagnete kan soms misluk. Verbeter hulle om wanfunksies te verminder.{#}Hierdie opgradering is verpligtend as jy die grootte van jou veld wil vergroot.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Het jy al ooit vir jouself gevra, hoekom het ek so klein veld? Is dit nie ongerieflik om met groot geboue te werk nie? Die oplossing is eenvoudig - brei jou veldgrootte uit! {#}Neem kennis dat jy, voordat jy uitbrei, seker moet maak dat die volgende opgraderings volledig aangekoop is: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} en {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Die vlakgrootte wat jy in die hoofmanu gekies het, verskil van jou gestoorde speletjie. Jy kan sewende speletjie beëindig en 'n nuwe een begin, as jy wil.{#}Wat wil jy met die gestoorde speletjie doen?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	n Slopingsplaas in die middel van 'n woestyn. Jy kan sê dit is die perfekte plek om metaalskroot te berg - baie vrye ruimte en droë weer. Alhoewel nie meer nie. In die jaar 2048 het die weer werklik gek geword.{#}Ek het nie gekies om my lewe hier te spandeer nie. Ek is nie ryk nie, en die grense is gesluit vir mense soos ek. Toe ek 'n kind was, het ek gedroom om ruimte te verower. En nou bevind ek myself vas in die middel van nerens.{#}So die enigste opsie is om te werk. En ek weier nooit hulp nie, ek is bly om jou hier te vind. Met jou weet ek, een dag sal ek dit tot in die ruimte maak.{#}So, wat dink jy: ons werk saam, herwin soveel dele as moontlik, en help mekaar om ons lewens beter te maak. Deal?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Jy het sopas die speletjie klaargemaak!{#}Gewoonlik plaas ontwikkelaars 'n lang lys werkers se name hier. Maar hierdie speletjie is net deur my ontwikkel (Gleb The Polar Citizen).{#}Ek wil my vrou bedank, 'n spesiale dankie aan Anna M. vir die ongelooflike motor, en aan al die vertalers!!{#}As jy wil , kan jy voortgaan om hierdie speletjie te speel of ander speletjies soek wat ek ontwikkel het!{#}Bly sterk!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Geen advertensies nie
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Jy kan hierdie opgradering koop vir die verwydering van basiese advertensies.{#}Dit sal nie prysadvertensies beïnvloed nie!{#}Die knoppie vir verdubbeling van tellings sal steeds beskikbaar wees. Dit sal dus net advertensies raak wat ná die wedstryd verskyn.{#}Ook, ek soek net na 'n manier om my te ondersteun, dit is beter om dit te oorweeg om buymeacoffe te besoek — die hartknoppie, geleë met mediaknoppies.
