en	nl
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Heb je dat ding bij de hoeken van je veld gezien? Hoe zit het met het nuttig maken ervan? Verbeter je hek door de mogelijkheid toe te voegen om het te openen!{#}Hiermee kun je niet-mechanisch vuil verwijderen. Verdere verbeteringen aan de pompen zijn mogelijk, waardoor het hydraulische hek vaker kan worden gebruikt.{#}Om het te gebruiken, klikt u op het gewenste gedeelte van het hek en trekt u de onderdelen in die richting. Alle onderdelen in de rij waar het hek open staat, worden weggegooid. Onthoud: veiligheid eerst!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Helaas is niet iedereen verantwoordelijk voor het sorteren van afval. Soms komen containers met afval stukken hout, afval en ander gewoon afval tegen.{#}Installeer extra sorteerapparatuur en breng het percentage niet-mechanisch afval terug tot nul.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	De mondiale klimaatverandering, en zelfs in de woestijn, is regen gebruikelijk geworden. Misschien is het voor iemand zelfs nuttig, maar sommige onderdelen kunnen roesten, waardoor ze niet meer te recyclen zijn. Het versterken van de waterdichtheid vermindert de kans op corrosie van onderdelen.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Wilt u het recyclingproces versnellen? Voeg een voormontage-eenheid toe aan uw transporter! Als het is geïnstalleerd, zullen sommige verwijderde onderdelen geavanceerder zijn.{#}Deze upgrade is verplicht als u de omvang van uw veld wilt vergroten.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Niets is perfect. Het geldt ook voor het montageproces. Is het je opgevallen dat er soms onderdelen breken tijdens het samenvoegen? Gelukkig kan ik je verzekeren dat het alleen de montage van de motor betreft. Ingewikkeldere onderdelen zijn geen probleem. Maar toch vervelend, toch?{#}Maar u kunt dit proces betrouwbaarder maken door uw apparatuur te kalibreren.{#}Deze upgrade is verplicht als u de omvang van uw veld wilt vergroten.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Voordelen van het stapelen van items in woestijnen: ze roesten niet veel in droge omgevingen. Nadelen: het kan hier erg heet zijn.{#}Hoe meer u werkt, hoe meer tijd u moet wachten tussen elke recycling, zodat uw apparatuur weer op de juiste temperatuur kan komen. Het leidt ertoe dat er tussen je bewegingen meer items worden verzameld. U kunt het koelsysteem upgraden, waardoor u meer tijd heeft voor recycling.{#}Deze upgrade is verplicht als u de omvang van uw veld wilt vergroten.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	DIY-elektromagneten kunnen soms falen. Verbeter ze om storingen te verminderen.{#}Deze upgrade is verplicht als u de omvang van uw veld wilt vergroten.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Heb je jezelf ooit afgevraagd: waarom heb ik zo'n klein veld? Is het niet lastig om met grote builds te werken? De oplossing is eenvoudig: breid uw veldgrootte uit! {#}Let op: voordat u uitbreidt, moet u ervoor zorgen dat de volgende upgrades volledig zijn aangeschaft: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} en {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	De niveaugrootte die je in het hoofdmenu hebt geselecteerd, verschilt van je opgeslagen spel. Je kunt een bepaald spel beëindigen en een nieuw spel starten, als je wilt.{#}Wat wil je doen met het opgeslagen spel?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Een autokerkhof midden in de woestijn. Je zou kunnen zeggen dat het de perfecte plek is om metaalschroot op te slaan - veel vrije ruimte en droog weer. Maar niet meer. In het jaar 2048 is het weer echt gek geworden.{#}Ik heb er niet voor gekozen om hier mijn leven door te brengen. Ik ben niet rijk en de grenzen zijn gesloten voor mensen zoals ik. Als kind droomde ik ervan om de ruimte te veroveren. En nu zit ik vast in het midden van nergens.{#}Dus de enige optie is om te werken. En ik weiger nooit hulp, ik ben blij dat ik jou hier heb gevonden. Met jou weet ik dat ik op een dag de ruimte zal bereiken.{#}Dus, wat zeg je ervan: we werken samen, recyclen zoveel mogelijk onderdelen en helpen elkaar om ons leven beter te maken. Deal?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Je hebt het spel zojuist uitgespeeld!{#}Meestal plaatsen ontwikkelaars hier een lange lijst met namen van werknemers. Maar dit spel is alleen door mij ontwikkeld (Gleb The Polar Citizen).{#}Ik wil mijn vrouw bedanken, in het bijzonder Anna M. bedanken voor de geweldige auto, en alle vertalers!!{#}Als je wilt , je kunt dit spel blijven spelen of zoeken naar andere spellen die ik heb ontwikkeld!{#}Blijf sterk!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Geen advertenties
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	U kunt deze upgrade kopen voor het verwijderen van basisadvertenties.{#}Het heeft geen invloed op de advertenties!{#}De knop voor het verdubbelen van scores zal nog steeds beschikbaar zijn. Het heeft dus alleen invloed op advertenties die na de game verschijnen.{#}Als je gewoon op zoek bent naar een manier om mij te steunen, kun je beter overwegen om buymeacoffe te bezoeken: de hartknop met de mediaknoppen.
<!-- Warning! Spoilers below! For safety reasons, I will protect them with some comments, so you will not spoil the game for yourself unless you want so (thank Ehloi for helping to keep all spoilers out) -->																																													
<!-- Spoilers in 20 rows-->																																													
<!-- Spoilers in 19 rows-->																																													
<!-- Spoilers in 18 rows-->																																													
<!-- Spoilers in 17 rows-->																																													
<!-- Spoilers in 16 rows-->																																													
<!-- Spoilers in 15 rows-->																																													
<!-- Spoilers in 14 rows-->																																													
<!-- Spoilers in 13 rows-->																																													
<!-- Spoilers in 12 rows-->																																													
<!-- Spoilers in 11 rows-->																																													
<!-- Spoilers in 10 rows-->																																													
<!-- Spoilers in 9 rows-->																																													
<!-- Spoilers in 8 rows-->																																													
<!-- Spoilers in 7 rows-->																																													
<!-- Spoilers in 6 rows-->																																													
<!-- Spoilers in 5 rows-->																																													
<!-- Spoilers in 4 rows-->																																													
<!-- Spoilers in 3 rows-->																																													
<!-- Spoilers in 2 rows-->																																													
<!-- Spoilers in 1 row -->																																													
<!-- SPOILERS!!!! -->																																													
Pickup	Ophalen
Truck	Vrachtauto
Biplane	Tweedekker
Helicopter	Helikopter
Plane	Vliegtuig
AN-225 Mriya	AN-225 Mriya
Rocket engine	Raketmotor
Soyuz	Sojoez
Rocket	Raket
