en	sw
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Unaona, hakuna kilichotokea. Sasa jaribu kutelezesha kidole katika mwelekeo tofauti (juu na chini). Hebu tusubiri hadi sumaku itengeneze yenyewe.
Done! After several moves, all magnets will be repaired.	Imekamilika! Baada ya hatua kadhaa, sumaku zote zitarekebishwa.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Sasa, hebu tuzungumze juu ya takataka za asili (mabaki ya apple). Jaribu kuihamisha.
Because bio garbage lacks magnetic materials, magnets can't move it.	Kwa sababu takataka za kibiolojia hazina nyenzo za sumaku, sumaku haziwezi kuisogeza.
Don't forget to sort your garbage! :)	Usisahau kupanga takataka zako! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Hii ni takataka ya kutu. Haiwezi kuchakatwa tena. Nambari inaonyesha ni muda gani unahitaji kutu na kutoweka.
Amazing! You've improved your recycling skills!	Inashangaza! Umeboresha ujuzi wako wa kuchakata tena!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Hongera kwa kupata semina! Hebu tuzame kwenye mafunzo ya haraka kuhusu jinsi ya kufaidika nayo.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Changanya maelezo rahisi mara moja kutoka kwa nyanja zote kwa kutumia warsha. Ijaribu sasa!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Ni nzuri sana, sawa? Kumbuka tu utulivu. Inachukua muda, kwa hivyo itumie kwa busara!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Kuwa mwangalifu wakati kuna maelezo moja pekee yanayopatikana kwa warsha. Haitaweza kuichanganya na itarudisha kipengee tu.
So, just use it carefully.	Kwa hiyo, tumia tu kwa uangalifu.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Warsha huangaza wakati umezungukwa na maelezo rahisi ya kuudhi. Ni zana bora ya kupanga nafasi yako vizuri!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Hongera kwa kununua crane! Hapa kuna mafunzo mafupi juu ya jinsi ya kufanya kazi nayo.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Ili kutumia crane, bonyeza tu kwenye ikoni. Sasa, umeingiza modi ya CRANE.
In CRANE mode, choose an item on the field that you'd like to interact with.	Katika hali ya CRANE, chagua kipengee kwenye sehemu ambacho ungependa kuingiliana nacho.
Next, select an empty field where you want to move the chosen item.	Ifuatayo, chagua sehemu tupu ambapo unataka kuhamisha kipengee kilichochaguliwa.
Now, press on the crane once more to execute the action.	Sasa, bonyeza kwenye crane mara nyingine tena ili kutekeleza kitendo.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Unapoboresha, utapata uwezo wa kubadilisha sio tu uga tupu lakini pia kuzibadilisha na vipengee vingine.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Usiogope kujaribu! Ikiwa utapata hitilafu, mchezo utatoa dalili. {#}Jaribu kusababisha hitilafu (k.m., bofya visanduku 2 tupu).
This is the error indication.	Hii ni dalili ya makosa.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	Na mwisho, lakini sio uchache, jaribu kutengua. Ili kufanya hivyo, bonyeza kwenye kipengee kilichochaguliwa hapo awali, au kwenye crane (ikiwa bado haujachagua kisanduku cha pili).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Hongera kwa kuboresha uzio wako! Wacha tuone ni uwezo gani sasa.
To use the fence, click on one of the blue (cyan) objects around the field.	Ili kutumia uzio, bofya kwenye moja ya vitu vya bluu (cyan) karibu na shamba.
Swipe the chosen object(s) towards the fence you've initiated.	Telezesha kidole au vitu vilivyochaguliwa kuelekea kwenye uzio ambao umeanzisha.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Kwa kawaida uzio huhitaji muda kabla ya kuzitumia tena, kwa hivyo panga hatua zako ipasavyo.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Uzio wa majimaji ni kibadilishaji-kinaweza kushughulikia kila aina ya takataka, hata zisizo za sumaku.
It's your go-to tool for bio-garbage removal. Give it a shot!	Ni zana yako ya kwenda kwa uondoaji wa takataka. Piga risasi!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Umenunua kiboreshaji kimoja, hiyo ni ~10% ya waht inahitajika ili kuongeza ukubwa wa uwanja!
Keep up! :D	Endelea! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Utapokea taka za kikaboni na uwezekano wa {#prob}%
You will recive rust debris with probabiliy of {#prob}%	Utapokea uchafu wa kutu na uwezekano wa {#prob}%
The probability of obtaining an improved detail is {#prob}%	Uwezekano wa kupata maelezo yaliyoboreshwa ni {#prob}%
The probability of successfully merging two details is approximately {#prob}%	Uwezekano wa kuunganisha maelezo mawili kwa mafanikio ni takriban {#prob}%
Magnets will break with a probability of {#prob}%	Sumaku zitakatika kwa uwezekano wa {#prob}%
More details will drop on the field after {#move} moves	Maelezo zaidi yatatolewa kwenye uwanja baada ya {#move} kusogeza
No Workshop	Hakuna Warsha
Collects {#cell1}. Cooldown time:	Hukusanya {#cell1}. Saa ya kutuliza:
Collects {#cell1} and {#cell2}. Cooldown time:	Hukusanya {#cell1} na {#cell2}. Saa ya kutuliza:
No Crane	Hakuna Crane
Move items up to {#cell3}.	Hamisha vipengee hadi {#cell3}.
Move items up to {#cell6}.	Hamisha vipengee hadi {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Hamisha vipengee hadi {#cell6}, na uvibadilishe na vipengee hadi {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Hamisha vipengee hadi {#cell11}, na uvibadilishe na vipengee hadi {#cell6}.
Move anything and swap it with items up to {#cell9}.	Hamisha chochote na ukibadilishane na vipengee hadi {#cell9}.
Move and swap anything!	Sogeza na ubadilishe chochote!
Simple fence	Uzio rahisi
Available again after following number of moves: {#move}	Inapatikana tena baada ya idadi ifuatayo ya uhamishaji: {#move}
Details failed to merge!	Maelezo yameshindwa kuunganishwa!
Warning! Langueages besides English could have some errors (and English also, lol)	Onyo! Lugha kando na Kiingereza zinaweza kuwa na makosa fulani (na Kiingereza pia, lol)
The game was saved. You can exit, and resume it later	Mchezo ulihifadhiwa. Unaweza kuondoka, na kuirejesha baadaye
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Crane ni chombo kinachokuwezesha kuhamisha vitu kwenye uwanja. Toleo la msingi hufanya kazi tu kwa kuburuta vitu vyenye mwanga hadi mahali tupu. Ukiwa na visasisho, unaweza kuburuta vitu ngumu zaidi, na hata kubadilishana vitu viwili. Ili kuitumia, bofya kwenye ikoni ya crane, chagua kitu, na uchague mahali unapotaka kuiweka.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Je, umechoshwa na sehemu rahisi zinazovuruga miundo yako ya hali ya juu? Tumia warsha!{#}Warsha - jengo dogo lililotenganishwa ambapo usindikaji wa mikono wa sehemu rahisi unawezekana. Kiwango cha juu cha warsha, sehemu nyingi zaidi inaweza kusindika. Pia, uboreshaji hukuruhusu kuitumia mara nyingi zaidi.{#}Ili kutumia, bofya aikoni ya warsha isipokuwa ikiwa iko kwenye upunguzaji.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Umeona jambo hilo karibu na pembe za uwanja wako? Vipi kuhusu kuifanya iwe ya manufaa? Boresha uzio wako kwa kuongeza uwezo wa kuufungua!{#}Hukuruhusu kuondoa uchafu usio wa mitambo. Maboresho zaidi ya pampu yanawezekana, hivyo kuruhusu utumiaji wa uzio wa majimaji mara nyingi zaidi.{#}Ili kutumia, bofya sehemu inayohitajika ya uzio, na uvute sehemu kuelekea huko. Sehemu zote kwenye safu ambapo uzio umefunguliwa watatupwa mbali. Kumbuka: usalama kwanza!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Kwa bahati mbaya, sio kila mtu ana jukumu la kupanga taka. Wakati mwingine vyombo vilivyo na takataka hukutana na vipande vya mbao, taka na takataka zingine za kawaida.{#}Sakinisha vifaa vya ziada vya kupanga na upunguze asilimia ya uchafu usio wa mitambo hadi sufuri.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Mabadiliko ya hali ya hewa duniani, na hata katika jangwa mvua imekuwa kawaida. Labda kwa mtu, ni muhimu hata, lakini sehemu zingine zinaweza kutu, na kufanya kuwa haiwezekani kuzisafisha. Kuimarisha kuzuia maji ya mvua hupunguza uwezekano wa kutu wa sehemu.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Je, ungependa kuharakisha mchakato wa kuchakata tena? Ongeza kitengo cha kusanyiko la awali kwa kisafirishaji chako! Ikisakinishwa, baadhi ya sehemu zilizodondoshwa zitakuwa za juu zaidi.{#}Usasishaji huu ni wa lazima, ikiwa ungependa kuongeza ukubwa wa sehemu yako.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Hakuna kilicho kamili. Pia inatumika kwa mchakato wa kusanyiko. Umeona, kwamba wakati mwingine sehemu huvunja wakati wa kuunganisha? Kwa bahati nzuri, ninaweza kukuhakikishia, kwamba inathiri tu mkusanyiko wa injini - sehemu ngumu zaidi sio tatizo. Lakini bado inaudhi, sivyo?{#}Lakini unaweza kufanya mchakato huu kutegemewa zaidi, kwa kusawazisha kifaa chako.{#}Uboreshaji huu ni wa lazima, ikiwa ungependa kuongeza ukubwa wa sehemu yako.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Faida za kuweka vitu kwenye jangwa - hawana kutu sana katika mazingira kavu. Hasara - kunaweza kuwa na joto kali hapa.{#}Kadiri unavyofanya kazi zaidi, ndivyo unavyohitaji kusubiri muda mwingi kati ya kila kuchakata, hivyo kuruhusu kifaa chako kurejea kwenye halijoto ifaayo. Hupelekea vitu vingi kukusanyika kati ya hatua zako. Unaweza kuboresha mfumo wa kupoeza, ukijipatia muda mrefu zaidi wa kuchakata tena.{#}Uboreshaji huu ni wa lazima, ikiwa ungependa kuongeza ukubwa wa sehemu yako.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	Sumakume za DIY wakati mwingine zinaweza kushindwa. Ziboreshe, ili kupunguza hitilafu.{#}Usasishaji huu ni wa lazima, ikiwa ungependa kuongeza ukubwa wa sehemu yako.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Umewahi kujiuliza, kwa nini nina shamba ndogo? Je, sio usumbufu kufanya kazi na miundo mikubwa? Suluhisho ni rahisi - panua ukubwa wa shamba lako! {#}Kumbuka, kabla ya kupanua, unahitaji kuhakikisha kuwa masasisho yafuatayo yamenunuliwa kikamilifu: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} na {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Ukubwa wa kiwango ambacho umechagua katika manu kuu, ni tofauti katika mchezo wako uliohifadhiwa. Unaweza kumaliza mchezo mmoja na kuanza mpya, ikiwa unataka.{#}Unataka kufanya nini na mchezo uliohifadhiwa?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Junkyard katikati ya jangwa. Unaweza kusema ni mahali pazuri pa kuhifadhi mabaki ya chuma - nafasi nyingi za bure na hali ya hewa kavu. Ingawa sivyo tena. Katika mwaka wa 2048 hali ya hewa ilichafuka sana.{#}Sikuchagua kutumia maisha yangu hapa. Mimi si tajiri, na mipaka imefungwa kwa watu kama mimi. Nilipokuwa mtoto, nilikuwa na ndoto ya kushinda nafasi. Na sasa, najipata nimekwama katikati ya eneo.{#}Kwa hivyo chaguo pekee ni kufanya kazi. Na kamwe sikatai msaada, ninafurahi kukupata hapa. Nikiwa na wewe najua, siku moja nitafika kwenye anga.{#}Kwa hivyo, vipi kuhusu hili: tunafanya kazi pamoja, tunasaga sehemu nyingi kadri tuwezavyo, na kusaidiana kuboresha maisha yetu. Dili?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Umemaliza mchezo!{#}Watengenezaji wa Usaly huweka hapa orodha ndefu ya majina ya wafanyikazi. Lakini mchezo huu uliendelezwa na mimi pekee (Gleb The Polar Citizen).{#}Nataka kumshukuru mke wangu, nitoe shukrani za pekee kwa Anna M. kwa gari la asweme, na kwa watafsiri wote!!{#}Ukitaka! , unaweza kuendelea kucheza mchezo huu au utafute michezo mingine niliyoanzisha!{#}Simama imara!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Hakuna matangazo
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Unaweza kununua toleo jipya la toleo hili ili kuondoa matangazo ya kimsingi.{#}Haitaathiri matangazo ya upya!{#}Kitufe cha kuongeza alama maradufu bado kitapatikana. Kwa hivyo itaathiri matangazo tu, ambayo yanaonekana baada ya mchezo.{#}Pia, mimi unatafuta tu njia ya kunisaidia, ni vyema ukazingatia kutembelea buymeacoff — kitufe cha moyo, kilicho na vitufe vya maudhui.
<!-- Warning! Spoilers below! For safety reasons, I will protect them with some comments, so you will not spoil the game for yourself unless you want so (thank Ehloi for helping to keep all spoilers out) -->																																													
<!-- Spoilers in 20 rows-->																																													
<!-- Spoilers in 19 rows-->																																													
<!-- Spoilers in 18 rows-->																																													
<!-- Spoilers in 17 rows-->																																													
<!-- Spoilers in 16 rows-->																																													
<!-- Spoilers in 15 rows-->																																													
<!-- Spoilers in 14 rows-->																																													
<!-- Spoilers in 13 rows-->																																													
<!-- Spoilers in 12 rows-->																																													
<!-- Spoilers in 11 rows-->																																													
<!-- Spoilers in 10 rows-->																																													
<!-- Spoilers in 9 rows-->																																													
<!-- Spoilers in 8 rows-->																																													
<!-- Spoilers in 7 rows-->																																													
<!-- Spoilers in 6 rows-->																																													
<!-- Spoilers in 5 rows-->																																													
<!-- Spoilers in 4 rows-->																																													
<!-- Spoilers in 3 rows-->																																													
<!-- Spoilers in 2 rows-->																																													
<!-- Spoilers in 1 row -->																																													
<!-- SPOILERS!!!! -->																																													
Pickup	Inua
Truck	Lori
Biplane	Biplane
Helicopter	Helikopta
Plane	Ndege
AN-225 Mriya	AN-225 Mriya
Rocket engine	Injini ya roketi
Soyuz	Soyuz
Rocket	Roketi
