en	is
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Þú keyptir bara eina uppfærslu, það er ~10% af því sem þarf til að auka svæðisstærð!
Keep up! :D	Halda í við! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Þú munt taka á móti lífrænum úrgangi með líklega {#prob}%
You will recive rust debris with probabiliy of {#prob}%	Þú munt fá ryðrusl með líklega {#prob}%
The probability of obtaining an improved detail is {#prob}%	Líkurnar á að fá betri smáatriði eru {#prob}%
The probability of successfully merging two details is approximately {#prob}%	Líkurnar á að sameina tvær upplýsingar með góðum árangri eru um það bil {#prob}%
Magnets will break with a probability of {#prob}%	Seglar brotna með {#prob}% líkum
More details will drop on the field after {#move} moves	Nánari upplýsingar munu birtast á vellinum eftir að {#move} hreyfingar
No Workshop	Ekkert verkstæði
Collects {#cell1}. Cooldown time:	Safnar {#cell1}. Kælingartími:
Collects {#cell1} and {#cell2}. Cooldown time:	Safnar {#cell1} og {#cell2}. Kælingartími:
No Crane	Enginn krani
Move items up to {#cell3}.	Færa atriði upp í {#cell3}.
Move items up to {#cell6}.	Færa atriði upp í {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Færðu atriði upp í {#cell6} og skiptu þeim með hlutum allt að {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Færðu atriði upp í {#cell11} og skiptu þeim með hlutum allt að {#cell6}.
Move anything and swap it with items up to {#cell9}.	Færðu hvað sem er og skiptu því út fyrir hluti upp að {#cell9}.
Move and swap anything!	Færðu þig og skiptu um hvað sem er!
Simple fence	Einföld girðing
Available again after following number of moves: {#move}	Í boði aftur eftir eftirfarandi fjölda hreyfinga: {#move}
Details failed to merge!	Ekki tókst að sameina upplýsingar!
Warning! Langueages besides English could have some errors (and English also, lol)	Viðvörun! Tungumál fyrir utan ensku gætu haft einhverjar villur (og enska líka, lol)
The game was saved. You can exit, and resume it later	Leiknum var bjargað. Þú getur hætt og haldið áfram síðar
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Krani er tæki sem gerir þér kleift að flytja hluti á völlinn. Grunnútgáfan virkar aðeins með því að draga létta hluti á tóman stað. Með uppfærslum geturðu dregið flóknari hluti og jafnvel skipt um tvo hluti. Til að nota það, smelltu á kranatáknið, veldu hlutinn og veldu stað þar sem þú vilt setja hann.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Ertu þreyttur á einföldum hlutum sem eru að skipta sér af háþróuðu smíðunum þínum? Notaðu verkstæðið!{#}Verkstofa - lítil aðskilin bygging þar sem handvinnsla á einföldum hlutum er möguleg. Því hærra sem verkstæðið er, því fleiri hlutar getur það unnið. Einnig gerir endurbótin þér kleift að nota það oftar.{#}Til að nota skaltu smella á verkstæðistáknið nema það sé í kólnun.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Sástu þetta í kringum hornin þín? Hvernig væri að gera það gagnlegt? Bættu girðinguna þína með því að bæta við möguleikanum á að opna hana!{#}Gerir þér kleift að losa þig við ómeðrænt rusl. Frekari endurbætur á dælunum eru mögulegar, sem gerir kleift að nota vökvagirðinguna oftar.{#}Til að nota skaltu smella á viðkomandi hluta girðingarinnar og draga hlutana í þá átt. Öllum hlutum í röðinni þar sem girðingin er opin verður hent. Mundu: öryggi fyrst!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Því miður bera ekki allir ábyrgð á flokkun úrgangs. Stundum rekast gámar með sorpi á viðarbita, úrgang og annað venjulegt sorp.{#}Settu upp viðbótarflokkunarbúnað og minnkaðu hlutfallið af óvélrænu rusli niður í núll.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Loftslagsbreytingar á heimsvísu, og jafnvel í eyðimörkinni, eru rigningar orðnar algengar. Kannski fyrir einhvern er það jafnvel gagnlegt, en sumir hlutar geta ryðgað, sem gerir það ómögulegt að endurvinna þá. Styrking vatnsþéttingar dregur úr líkum á tæringu hluta.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Viltu flýta fyrir endurvinnsluferlinu? Bættu forsamsetningareiningu við flutningstækið þitt! Þegar það er uppsett verða sumir hlutar sem hafa sleppt úr vegi fullkomnari.{#}Þessi uppfærsla er nauðsynleg ef þú vilt stækka reitinn þinn.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Ekkert er fullkomið. Það á einnig við um samsetningarferlið. Hefur þú tekið eftir því að stundum brotna hlutar við sameiningu? Sem betur fer get ég fullvissað þig um að það hefur aðeins áhrif á samsetningu vélarinnar - flóknari hlutar eru ekkert vandamál. En samt pirrandi, ekki satt?{#}En þú getur gert þetta ferli áreiðanlegra með því að kvarða búnaðinn þinn.{#}Þessi uppfærsla er nauðsynleg ef þú vilt stækka reitinn þinn.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Kostir við að stafla hlutum í eyðimörk - þeir ryðga ekki mikið í þurru umhverfi. Gallar - það getur verið mjög heitt hérna.{#}Því meira sem þú vinnur, því lengri tíma þarftu að bíða á milli hverrar endurvinnslu, sem gerir búnaðinum þínum kleift að ná viðeigandi hitastigi aftur. Það leiðir til þess að fleiri hlutir safnast upp á milli hreyfinga þinna. Þú getur uppfært kælikerfið og gefið þér lengri tíma til endurvinnslu.{#}Þessi uppfærsla er nauðsynleg ef þú vilt stækka reitinn þinn.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	DIY rafseglar geta stundum bilað. Bættu þær til að draga úr bilunum.{#}Þessi uppfærsla er nauðsynleg ef þú vilt stækka reitinn þinn.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Hefur þú einhvern tíma spurt sjálfan þig, hvers vegna er ég með svona lítinn reit? Er ekki óþægilegt að vinna með stórar byggingar? Lausnin er einföld - stækkaðu reitinn þinn! {#}Athugaðu að áður en þú stækkar þarftu að ganga úr skugga um að eftirfarandi uppfærslur séu að fullu keyptar: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} og {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Stærðin sem þú hefur valið í aðalhandbókinni er mismunandi frá vistaða leiknum þínum. Þú getur lokið seved leik og byrjað nýjan, ef þú vilt.{#}Hvað vilt þú gera við vistaða leikinn?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Bilskrot í miðri eyðimörk. Hægt væri að segja að það sé fullkominn staður til að geyma málmrusl - mikið af lausu plássi og þurru veðri. En ekki lengur. Í árinu 2048 hefur veðrið verið raunverulega klikkað.{#}Ég valdi ekki að eyða lífinu mínu hérna. Ég er ekki auðugur, og landamærin eru lokuð fyrir fólk eins og mig. Þegar ég var barn, dreymdi ég um að sigra geiminn. Og núna sit ég fastur í miðjum engu.{#}Þannig að eina valmöguleikinn er að vinna. Og ég neita aldrei aðstoð, ég er hamingjusamur að finna þig hér. Með þér veit ég að ég mun einhvern dag ná í geiminn.{#}Svo hvað segir þú um það: Látum okkur vinna saman, endurnýjum eins mörg hluta og við getum og hjálpa hvort öðru að gera líf okkar betra. Sammála?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Þú varst að klára leikinn!{#}Venjulegur verktaki setja hér langan lista yfir nöfn starfsmanna. En þessi leikur var aðeins þróaður af mér (Gleb The Polar Citizen).{#}Ég vil þakka konunni minni, þakka Önnu M. sérstaklega fyrir frábæran bíl og öllum þýðendum!!{#}Ef þú vilt , þú getur haldið áfram að spila þennan leik eða leitað að öðrum leikjum sem ég þróaði!{#}Vertu sterkur!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Engar auglýsingar
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Þú getur keypt þessa uppfærslu til að fjarlægja grunnauglýsingar.{#}Það mun ekki hafa áhrif á verðlaunaauglýsingar!{#}Hnappurinn til að tvöfalda stig verður enn tiltækur. Þannig að það mun aðeins hafa áhrif á auglýsingar sem birtast eftir leikinn.{#}Einnig, ef þú ert bara að leita að leið til að styðja mig, þá er betra að íhuga að heimsækja buymeacoffe — hjartahnappinn, staðsettur með miðlunarhnappum.
