en	sr
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Ово је рђаво смеће. Не може се ни рециклирати. Број показује колико је времена потребно да зарђа и нестане.
Amazing! You've improved your recycling skills!	Невероватно! Побољшали сте своје вештине рециклаже!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Честитамо на преузимању радионице! Хајде да заронимо у брзи водич о томе како да га максимално искористимо.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Комбинујте једноставне детаље одмах из свих области користећи радионицу. Пробајте сада!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Прилично је кул, зар не? Само имајте на уму хлађење. Потребно је неко време, па га користите мудро!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Будите опрезни када је за радионицу доступан само један детаљ. Неће моћи да га комбинује и само ће вратити предмет назад.
So, just use it carefully.	Дакле, само га пажљиво користите.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Радионица блиста када сте окружени досадним једноставним детаљима. То је савршен алат за ефикасно сређивање вашег простора!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Честитамо на куповини дизалице! Ево кратког упутства о томе како да радите са њим.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Да бисте користили кран, једноставно додирните икону. Сада сте ушли у режим ЦРАНЕ.
In CRANE mode, choose an item on the field that you'd like to interact with.	У режиму ЦРАНЕ изаберите ставку на пољу са којом желите да комуницирате.
Next, select an empty field where you want to move the chosen item.	Затим изаберите празно поље у које желите да преместите изабрану ставку.
Now, press on the crane once more to execute the action.	Сада још једном притисните кран да извршите акцију.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Како надоградите, добићете могућност да мењате не само празна поља, већ и да их замените другим ставкама.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Не плашите се експериментисања! Ако наиђете на грешку, игра ће дати индикацију. {#}Покушајте да изазовете грешку (нпр. кликните на 2 празне ћелије).
This is the error indication.	Ово је индикација грешке.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	И на крају, али не и најмање важно, покушајте да поништите избор. Да бисте то урадили, притисните на претходно изабрану ставку, или на дизалицу (ако још нисте изабрали другу ћелију).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Честитамо на надоградњи ваше ограде! Да видимо за шта је сада способан.
To use the fence, click on one of the blue (cyan) objects around the field.	Да бисте користили ограду, кликните на један од плавих (цијан) објеката око поља.
Swipe the chosen object(s) towards the fence you've initiated.	Превуците изабрани објект(е) према огради коју сте покренули.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Оградама је обично потребно неко време пре него што их поново користите, па планирајте своје потезе у складу са тим.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Хидраулична ограда мења игру - може да се носи са свим врстама смећа, чак и са немагнетним.
It's your go-to tool for bio-garbage removal. Give it a shot!	То је ваш алат за уклањање биолошког смећа. Пробај!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Управо сте купили једну надоградњу, то је ~10% потребног за повећање величине поља!
Keep up! :D	Наставити! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Добићете органски отпад са вероватноћом од {#prob}%
You will recive rust debris with probabiliy of {#prob}%	Добићете остатке рђе са вероватноћом од {#prob}%
The probability of obtaining an improved detail is {#prob}%	Вероватноћа добијања побољшаних детаља је {#prob}%
The probability of successfully merging two details is approximately {#prob}%	Вероватноћа успешног спајања два детаља је приближно {#prob}%
Magnets will break with a probability of {#prob}%	Магнети ће се сломити са вероватноћом од {#prob}%
More details will drop on the field after {#move} moves	Више детаља ће пасти на терен након потеза {#move}
No Workshop	Нема радионице
Collects {#cell1}. Cooldown time:	Прикупља {#cell1}. Време хлађења:
Collects {#cell1} and {#cell2}. Cooldown time:	Прикупља {#cell1} и {#cell2}. Време хлађења:
No Crane	Но Цране
Move items up to {#cell3}.	Премести ставке до {#cell3}.
Move items up to {#cell6}.	Премести ставке до {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Померите ставке до {#cell6} и замените их ставкама до {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Померите ставке до {#cell11} и замените их ставкама до {#cell6}.
Move anything and swap it with items up to {#cell9}.	Померите било шта и замените ставкама до {#cell9}.
Move and swap anything!	Померите и замените било шта!
Simple fence	Једноставна ограда
Available again after following number of moves: {#move}	Поново доступно након следећег броја потеза: {#move}
Details failed to merge!	Спајање детаља није успело!
Warning! Languages besides English could have some errors (and English also, lol)	Упозорење! Језици осим енглеског могу имати неке грешке (и енглески такође, лол)
The game was saved. You can exit, and resume it later	Игра је сачувана. Можете изаћи и наставити касније
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Дизалица је алат који вам омогућава да премештате објекте на терену. Основна верзија ради само превлачењем светлих објеката на празно место. Уз надоградње, можете превући сложеније ставке, па чак и заменити два објекта. Да бисте га користили, кликните на икону дизалице, изаберите објекат и изаберите место на које желите да га поставите.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Уморни сте од једноставних делова који се петљају са вашим напредним верзијама? Користите радионицу!{#}Радионица – мала одвојена зграда у којој је могућа ручна обрада једноставних делова. Што је виши ниво радионице, то више делова може да обради. Такође, побољшање вам омогућава да га чешће користите.{#}Да бисте га користили, кликните на икону радионице осим ако није на хлађењу.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Да ли сте видели ту ствар по угловима свог поља? Шта кажете на то да га учините корисним? Побољшајте своју ограду додавањем могућности отварања!{#}Омогућава вам да се решите немеханичког отпада. Могућа су даља побољшања пумпи, омогућавајући чешћу употребу хидрауличне ограде.{#}Да бисте је користили, кликните на жељени део ограде и повуците делове у том правцу. Сви делови у реду где је ограда отворена биће бачени. Запамтите: безбедност на првом месту!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Нажалост, нису сви одговорни за сортирање отпада. Понекад контејнери са смећем наиђу на комаде дрвета, отпад и друго обично смеће.{#}Инсталирајте додатну опрему за сортирање и смањите проценат немеханичког отпада на нулу.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Глобалне климатске промене, па чак и пустињске кише, постале су уобичајене. Можда је за некога то чак и корисно, али неки делови могу да зарђају, што их чини немогућим за рециклирање. Јачање хидроизолације смањује вероватноћу корозије делова.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Желите да убрзате процес рециклаже? Додајте јединицу за предмонтажу свом транспортеру! Када је инсталиран, неки испуштени делови ће бити напреднији.{#}Ова надоградња је обавезна ако желите да повећате величину поља.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Ништа није савршено. То се такође односи на процес монтаже. Да ли сте приметили да се понекад делови ломе приликом спајања? На срећу, уверавам вас да то утиче само на монтажу мотора - компликованији делови нису проблем. Али и даље досадно, зар не?{#}Али овај процес можете учинити поузданијим калибрацијом опреме.{#}Ова надоградња је обавезна ако желите да повећате величину поља.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Предности слагања предмета у пустињама - не хрђају много у сувим срединама. Недостаци – овде може да буде стварно вруће.{#}Што више радите, потребно је више времена да чекате између сваког рециклаже, омогућавајући вашој опреми да се врати на одговарајућу температуру. То доводи до тога да се више ствари накупља између ваших потеза. Можете да надоградите систем за хлађење, обезбеђујући себи дуже време за рециклажу.{#}Ова надоградња је обавезна ако желите да повећате величину поља.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	Уради сам електромагнети понекад могу покварити. Побољшајте их да бисте смањили кварове.{#}Ова надоградња је обавезна ако желите да повећате величину поља.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Да ли сте се икада запитали зашто имам тако мало поље? Није ли незгодно радити са великим конструкцијама? Решење је једноставно - проширите величину поља! {#}Имајте на уму да пре проширења морате да се уверите да су следеће надоградње у потпуности купљене: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} и {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Величина нивоа коју сте изабрали у главном менију се разликује од ваше сачуване игре. Ако желите, можете да прекинете посећену игру и започнете нову.{#}Шта желите да урадите са сачуваном игром?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Сметлиште усред пустиње. Могло би се рећи да је то савршено место за складиштење металних остатака - пуно слободног простора и суво време. Мада не више. Године 2048. време је заиста полудело.{#}Нисам изабрао да проведем живот овде. Нисам богат, а за људе попут мене границе су затворене. Када сам био дете, сањао сам да освојим свемир. А сада се налазим заглављен усред ничега.{#}Тако да је једина опција да радим. И никада не одбијам помоћ, срећан сам што сам те нашао овде. Са тобом знам, једног дана ћу стићи у свемир.{#}Па, шта кажеш на ово: радимо заједно, рециклирамо што више делова и помажемо једни другима да побољшамо своје животе. Договор?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Управо сте завршили игру!{#}Програмери обично постављају овде дугачку листу имена радника. Али ову игру сам развио само ја (Gleb The Polar Citizen).{#}Желим да се захвалим својој жени, да се посебно захвалим Ани М. на дивном ауту и ​​свим преводиоцима!!{#}Ако желите!! , можете наставити да играте ову игру или потражите друге игре које сам развио!{#}Останите јаки!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Нема реклама
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Можете купити ову надоградњу за уклањање основних огласа.{#}Неће утицати на ревард огласе!{#}Дугме за удвостручавање резултата ће и даље бити доступно. Тако да ће утицати само на огласе који се појављују након игре.{#}Такође, ако само тражите начин да ме подржите, боље размислите о посети буимеацоффе — дугмету срца, које се налази са дугмадима за медије.
