en	fi
Congratulations on upgrading your fence! Let's see what it is capable of now.	Onnittelut aidan päivityksestä! Katsotaan nyt mihin se pystyy.
To use the fence, click on one of the blue (cyan) objects around the field.	Käytä aitaa napsauttamalla jotakin kentän ympärillä olevista sinisistä (syaani) esineistä.
Swipe the chosen object(s) towards the fence you've initiated.	Pyyhkäise valitulla esineellä/objekteilla kohti aloittamaasi aitaa.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Aidat tarvitsevat yleensä jonkin aikaa ennen kuin voit käyttää niitä uudelleen, joten suunnittele liikkeesi sen mukaisesti.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Hydraulinen aita on pelin muuttaja – se pystyy käsittelemään kaikenlaista roskaa, myös ei-magneettisia.
It's your go-to tool for bio-garbage removal. Give it a shot!	Se on paras työkalu biojätteen poistamiseen. Yritä!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Ostit juuri yhden päivityksen, eli ~10% wahtista tarvitaan kentän koon kasvattamiseen!
Keep up! :D	Jatka! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Saat orgaanista jätettä {#prob}% todennäköisyydellä
You will recive rust debris with probabiliy of {#prob}%	Saat ruostejätteen todennäköisyydellä {#prob}%
The probability of obtaining an improved detail is {#prob}%	Todennäköisyys saada parempi yksityiskohta on {#prob}%
The probability of successfully merging two details is approximately {#prob}%	Kahden yksityiskohdan onnistuneen yhdistämisen todennäköisyys on noin {#prob}%
Magnets will break with a probability of {#prob}%	Magneetit rikkoutuvat todennäköisyydellä {#prob}%
More details will drop on the field after {#move} moves	Lisätiedot tulevat kenttään {#move} siirron jälkeen
No Workshop	Ei työpajaa
Collects {#cell1}. Cooldown time:	Kerää {#cell1}. Jäähdytysaika:
Collects {#cell1} and {#cell2}. Cooldown time:	Kerää {#cell1} ja {#cell2}. Jäähdytysaika:
No Crane	Ei nosturia
Move items up to {#cell3}.	Siirrä kohteita ylös {#cell3}.
Move items up to {#cell6}.	Siirrä kohteita ylös {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Siirrä kohteita ylöspäin {#cell6}:aan ja vaihda ne kohtiin {#cell2} asti.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Siirrä kohteita ylöspäin {#cell11}:aan ja vaihda ne kohteilla, joiden korkeus on {#cell6}.
Move anything and swap it with items up to {#cell9}.	Siirrä mitä tahansa ja vaihda se kohteilla {#cell9} asti.
Move and swap anything!	Muuta ja vaihda mitä tahansa!
Simple fence	Yksinkertainen aita
Available again after following number of moves: {#move}	Taas käytettävissä seuraavan siirtomäärän jälkeen: {#move}
Details failed to merge!	Yksityiskohtien yhdistäminen epäonnistui!
Warning! Languages besides English could have some errors (and English also, lol)	Varoitus! Englannin lisäksi muissa kielissä saattaa olla virheitä (ja englanniksi myös, lol)
The game was saved. You can exit, and resume it later	Peli pelastettiin. Voit poistua ja jatkaa sitä myöhemmin
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Nosturi on työkalu, jonka avulla voit siirtää esineitä pellolla. Perusversio toimii vain raahaamalla kevyitä esineitä tyhjään paikkaan. Päivitysten avulla voit vetää monimutkaisempia kohteita ja jopa vaihtaa kaksi objektia. Käyttääksesi sitä, napsauta nosturikuvaketta, valitse kohde ja valitse paikka, johon haluat sijoittaa sen.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Oletko kyllästynyt yksinkertaisiin osiin, jotka sotkevat edistyneissä rakennuksissasi? Käytä työpajaa!{#}Korjapaja – pieni erillinen rakennus, jossa yksinkertaisten osien manuaalinen käsittely on mahdollista. Mitä korkeampi työpajan taso, sitä enemmän osia se pystyy käsittelemään. Parannuksen ansiosta voit myös käyttää sitä useammin.{#}Käyttääksesi klikkaa työpajakuvaketta, ellei se ole jäähtymässä.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Näitkö sen kenttäsi kulmien takana? Mitä jos tekisit siitä hyödyllisen? Paranna aitaasi lisäämällä sen avaamismahdollisuus!{#}Voit päästä eroon ei-mekaanisista roskista. Pumppuihin on mahdollista tehdä lisäparannuksia, mikä mahdollistaa hydraulisen aidan käytön useammin.{#}Käyttääksesi klikkaa haluamaasi aidan osaa ja vedä osia siihen suuntaan. Kaikki osat rivissä, jossa aita on auki, heitetään pois. Muista: turvallisuus ennen kaikkea!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Valitettavasti kaikki eivät ole vastuussa jätteiden lajittelusta. Joskus roskia sisältäviin säiliöihin törmää puukappaleita, jätettä ja muuta tavallista roskaa.{#}Asenna lisälajittelulaitteita ja vähennä ei-mekaanisten jätteiden prosenttiosuutta nollaan.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Globaali ilmastonmuutos ja jopa autiomaassa sateet ovat yleistyneet. Ehkä jollekin se on jopa hyödyllistä, mutta jotkin osat voivat ruostua, jolloin niitä on mahdotonta kierrättää. Vedeneristyksen vahvistaminen vähentää osien korroosion todennäköisyyttä.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Haluatko nopeuttaa kierrätysprosessia? Lisää esiasennusyksikkö kuljettimeesi! Kun se on asennettu, jotkin pudonneet osat ovat edistyneempiä.{#}Tämä päivitys on pakollinen, jos haluat suurentaa peltosi kokoa.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Mikään ei ole täydellistä. Se koskee myös kokoonpanoprosessia. Oletko huomannut, että joskus osat katkeavat yhdistämisen aikana? Onneksi voin vakuuttaa, että se vaikuttaa vain moottorin kokoonpanoon - monimutkaisemmat osat eivät ole ongelma. Mutta silti ärsyttävää, eikö?{#}Mutta voit tehdä tästä prosessista luotettavamman kalibroimalla laitteesi.{#}Tämä päivitys on pakollinen, jos haluat kasvattaa peltosi kokoa.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Erämaissa tavaroiden pinoamisen plussat - ne eivät ruostu paljoa kuivassa ympäristössä. Huonot puolet – täällä voi olla todella kuuma.{#}Mitä enemmän työskentelet, sitä enemmän aikaa sinun on odotettava kierrätyskertojen välillä, jotta laitteistosi palaa sopivaan lämpötilaan. Se johtaa siihen, että liikkeidesi väliin kertyy enemmän esineitä. Voit päivittää jäähdytysjärjestelmän, jolloin kierrätykseen jää enemmän aikaa.{#}Tämä päivitys on pakollinen, jos haluat kasvattaa peltosi kokoa.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	DIY-sähkömagneetit voivat joskus epäonnistua. Paranna niitä vähentääksesi toimintahäiriöitä.{#}Tämä päivitys on pakollinen, jos haluat suurentaa peltosi kokoa.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Oletko koskaan kysynyt itseltäsi, miksi minulla on niin pieni kenttä? Eikö ole hankalaa työskennellä suurten rakennusten kanssa? Ratkaisu on yksinkertainen – laajenna kenttäsi kokoa! {#}Huomaa, että ennen laajentamista sinun on varmistettava, että seuraavat päivitykset on ostettu kokonaan: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} ja {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Päämanuaalissa valitsemasi tasokoko vaihtelee tallennetusta pelistä. Voit lopettaa erotetun pelin ja aloittaa uuden, jos haluat.{#}Mitä haluat tehdä tallennetulle pelille?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Autopurkaamo keskellä autiomaata. Voisi sanoa, että se on täydellinen paikka säilyttää metallijätettä - paljon vapaata tilaa ja kuiva sää. Vaikka ei enää. Vuonna 2048 sää on todella mennyt sekaisin.{#}En valinnut viettää elämääni täällä. En ole rikas, ja rajat ovat suljettu ihmisille kuten minä. Lapsena haaveilin avaruuden valloittamisesta. Ja nyt olen jumissa keskellä ei mitään.{#}Joten ainoa vaihtoehto on työskennellä. En koskaan kieltäydy avusta, olen iloinen löytäessäsi sinut täältä. Sinun kanssasi tiedän, että jonain päivänä saavutan avaruuden.{#}Joten, mitä sanot tähän: työskentelemme yhdessä, kierrätämme niin paljon osia kuin mahdollista ja autamme toisiamme tekemään elämästämme parempaa. Sopimus?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Olet juuri lopettanut pelin!{#}Yleensä kehittäjät laittavat tänne pitkän luettelon työntekijöiden nimistä. Mutta tämän pelin kehitin vain minä (Gleb The Polar Citizen).{#}Haluan kiittää vaimoani, kiittää erityisesti Anna M:tä mahtavasta autosta ja kaikkia kääntäjiä!{#}Jos haluat , voit jatkaa tämän pelin pelaamista tai etsiä muita kehittämiäni pelejä!{#}Pysy vahvana!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Ei mainoksia
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Voit ostaa tämän päivityksen perusmainosten poistamista varten.{#}Se ei vaikuta palkintomainoksiin!{#}Pisteiden tuplauspainike on edelleen käytettävissä. Joten se vaikuttaa vain mainoksiin, jotka näkyvät pelin jälkeen.{#}Lisäksi, jos etsit vain tapaa tukea minua, kannattaa harkita vierailua buymeacoffeen – sydänpainikkeeseen, joka sijaitsee mediapainikkeilla.
