en	ru
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Будьте осторожны, когда для мастерской доступна только одна деталь. Объединить он не сможет и просто вернет товар обратно.
So, just use it carefully.	Так что просто используйте его осторожно.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Мастерская сияет, когда вас окружают раздражающие простые детали. Это идеальный инструмент для эффективной уборки вашего пространства!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Поздравляем с приобретением крана! Вот краткое руководство о том, как с ним работать.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	Чтобы использовать кран, просто нажмите на значок. Теперь вы вошли в режим КРАН.
In CRANE mode, choose an item on the field that you'd like to interact with.	В режиме КРАН выберите на поле элемент, с которым вы хотите взаимодействовать.
Next, select an empty field where you want to move the chosen item.	Далее выберите пустое поле, куда вы хотите переместить выбранный элемент.
Now, press on the crane once more to execute the action.	Теперь нажмите на кран еще раз, чтобы выполнить действие.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	По мере обновления вы получите возможность менять не только пустые поля, но и заменять их другими элементами.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Не бойтесь экспериментировать! Если вы столкнетесь с ошибкой, игра сообщит об этом. {#}Попробуйте вызвать ошибку (например, нажмите на две пустые ячейки).
This is the error indication.	Это индикатор ошибки.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	И последнее, но не менее важное: попробуйте отменить выбор. Для этого нажмите на ранее выбранный элемент или на кран (если вы еще не выбрали вторую ячейку).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Поздравляем с обновлением вашего забора! Посмотрим, на что он способен сейчас.
To use the fence, click on one of the blue (cyan) objects around the field.	Чтобы использовать забор, нажмите на один из синих (голубых) объектов вокруг поля.
Swipe the chosen object(s) towards the fence you've initiated.	Проведите выбранным объектом(ами) к инициированному вами забору.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Обычно заборам требуется некоторое время, прежде чем вы сможете снова их использовать, поэтому планируйте свои действия соответствующим образом.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Гидравлический забор меняет правила игры: он может справляться со всеми видами мусора, даже немагнитными.
It's your go-to tool for bio-garbage removal. Give it a shot!	Это ваш незаменимый инструмент для удаления биологического мусора. Дать ему шанс!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Вы только что купили одно обновление, то есть ~10% от суммы, необходимой для увеличения размера поля!
Keep up! :D	Поддерживать! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Вы получите органические отходы с вероятностью {#prob}%
You will recive rust debris with probabiliy of {#prob}%	Вы получите остатки ржавчины с вероятностью {#prob}%
The probability of obtaining an improved detail is {#prob}%	Вероятность получения улучшенной детализации равна {#prob}%.
The probability of successfully merging two details is approximately {#prob}%	Вероятность успешного слияния двух деталей составляет примерно {#prob}%
Magnets will break with a probability of {#prob}%	Магниты сломаются с вероятностью {#prob}%
More details will drop on the field after {#move} moves	Более подробная информация появится на поле после хода {#move}.
No Workshop	Нет мастерской
Collects {#cell1}. Cooldown time:	Собирает {#cell1}. Время восстановления:
Collects {#cell1} and {#cell2}. Cooldown time:	Собирает {#cell1} и {#cell2}. Время восстановления:
No Crane	Нет крана
Move items up to {#cell3}.	Переместите элементы до {#cell3}.
Move items up to {#cell6}.	Переместите элементы до {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Переместите элементы до {#cell6} и замените их элементами до {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Переместите элементы до {#cell11} и замените их элементами до {#cell6}.
Move anything and swap it with items up to {#cell9}.	Переместите что-нибудь и поменяйте местами элементы до {#cell9}.
Move and swap anything!	Двигайтесь и меняйте местами что угодно!
Simple fence	Простой забор
Available again after following number of moves: {#move}	Доступен снова после следующего количества ходов: {#move}
Details failed to merge!	Детали не удалось объединить!
Warning! Langueages besides English could have some errors (and English also, lol)	Предупреждение! В языках, помимо английского, могут быть некоторые ошибки (и в английском тоже, лол)
The game was saved. You can exit, and resume it later	Игра сохранилась. Вы можете выйти и возобновить его позже.
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Кран – это инструмент, позволяющий перемещать предметы на поле. Базовая версия работает только путем перетаскивания легких объектов на пустое место. Благодаря улучшениям вы сможете перетаскивать более сложные предметы и даже менять местами два объекта. Чтобы использовать его, нажмите на значок крана, выберите объект и выберите место, где вы хотите его разместить.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Устали от того, что простые детали мешают вашим продвинутым сборкам? Воспользуйтесь мастерской!{#}Мастерская — небольшое отдельно стоящее здание, где возможна ручная обработка простых деталей. Чем выше уровень мастерской, тем больше деталей она может обработать. Кроме того, улучшение позволяет вам использовать его чаще.{#}Чтобы использовать, нажмите на значок мастерской, если он не находится на перезарядке.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Вы видели эту штуку по углам поля? Как насчет того, чтобы сделать это полезным? Улучшите свой забор, добавив возможность его открывать!{#}Позволяет избавиться от немеханического мусора. Возможны дальнейшие улучшения насосов, позволяющие чаще использовать гидравлическое ограждение.{#}Чтобы использовать, нажмите на нужную секцию ограждения и потяните детали в этом направлении. Все детали в ряду, где ограждение открыто, будут выброшены. Помните: безопасность прежде всего!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	К сожалению, не все ответственно относятся к сортировке мусора. Иногда в контейнерах с мусором попадаются куски дерева, отходы и другой обычный мусор.{#}Установите дополнительное сортировочное оборудование и снизьте процент немеханического мусора до нуля.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Глобальное изменение климата, и даже в пустынях дожди стали обычным явлением. Возможно, для кого-то это даже полезно, но некоторые детали могут заржаветь, что делает невозможным их утилизацию. Усиление гидроизоляции снижает вероятность коррозии деталей.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Хотите ускорить процесс переработки? Добавьте к своему транспортеру сборочную единицу! После его установки некоторые выпадающие части станут более продвинутыми.{#}Это обновление является обязательным, если вы хотите увеличить размер своего поля.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Ничто не идеально. Это касается и процесса сборки. Замечали ли вы, что иногда при сращивании детали ломаются? К счастью, могу вас заверить, что это касается только сборки двигателя – более сложные детали не проблема. Но все равно раздражает, не так ли?{#}Но вы можете сделать этот процесс более надежным, откалибровав свое оборудование.{#}Это обновление является обязательным, если вы хотите увеличить размер своего поля.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Плюсы штабелирования предметов в пустыне — они не сильно ржавеют в сухой среде. Минусы: здесь может быть очень жарко.{#}Чем больше вы работаете, тем больше времени вам нужно ждать между каждой переработкой, чтобы ваше оборудование вернулось к соответствующей температуре. Это приводит к тому, что между вашими ходами накапливается больше предметов. Вы можете модернизировать систему охлаждения, продлив время на переработку.{#}Это обновление является обязательным, если вы хотите увеличить размер своего поля.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	Электромагниты, сделанные своими руками, иногда могут выйти из строя. Улучшите их, чтобы уменьшить количество сбоев.{#}Это обновление является обязательным, если вы хотите увеличить размер своего поля.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Вы когда-нибудь задавались вопросом, почему у меня такое маленькое поле? Не неудобно ли работать с большими сборками? Решение простое – увеличьте размер поля! {#}Обратите внимание, что перед расширением необходимо убедиться, что следующие обновления полностью приобретены: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} и {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Размер уровня, который вы выбрали в главном меню, отличается от размера вашей сохраненной игры. Если хотите, вы можете завершить предыдущую игру и начать новую.{#}Что вы хотите делать с сохраненной игрой?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Склад автомобильных запчастей посреди пустыни. Можно сказать, что этоидеальное место для хранения металлического лома - много свободногопространства и сухая погода. Хотя уже не так. В 2048 году погода совсем сума сошла.{#}Я не выбирал этого места для жизни. Я не богат, и границызакрыты для людей, как я. Когда я был ребенком, мечтал завоевать космос.И вот теперь я застрял посреди ниоткуда.{#}Так что единственный вариант- работать. И я никогда не отказываюсь от помощи, я рад, что нашел тебяздесь. С тобой я знаю, что когда-нибудь доберусь до космоса.{#}Итак,что скажешь: давай работать вместе, перерабатывать как можно большедеталей и помогать друг другу делать нашу жизнь лучше. Согласен?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Вы только что прошли игру!{#}Обычно разработчики размещают здесь длинный список имен рабочих. Но эту игру разработал только я (Gleb The Polar Citizen).{#}Хочу поблагодарить жену, отдельное спасибо Анне М. за прекрасную машину и всем переводчикам!!{#}Если хотите , вы можете продолжить играть в эту игру или поискать другие игры, которые я разработал!{#}Будьте сильными!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Без рекламы
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Вы можете купить это обновление, чтобы удалить базовую рекламу.{#}Оно не повлияет на рекламу с вознаграждением!{#}Кнопка удвоения очков по-прежнему будет доступна. Так что это повлияет только на рекламу, которая появляется после игры.{#}Кроме того, если вы просто ищете способ поддержать меня, лучше рассмотрите возможность посещения buymeacoffe — кнопки-сердечка, расположенной рядом с медиа-кнопками.
<!-- Warning! Spoilers below! For safety reasons, I will protect them with some comments, so you will not spoil the game for yourself unless you want so (thank Ehloi for helping to keep all spoilers out) -->																																													
<!-- Spoilers in 20 rows-->																																													
<!-- Spoilers in 19 rows-->																																													
<!-- Spoilers in 18 rows-->																																													
<!-- Spoilers in 17 rows-->																																													
<!-- Spoilers in 16 rows-->																																													
<!-- Spoilers in 15 rows-->																																													
<!-- Spoilers in 14 rows-->																																													
<!-- Spoilers in 13 rows-->																																													
<!-- Spoilers in 12 rows-->																																													
<!-- Spoilers in 11 rows-->																																													
<!-- Spoilers in 10 rows-->																																													
<!-- Spoilers in 9 rows-->																																													
<!-- Spoilers in 8 rows-->																																													
<!-- Spoilers in 7 rows-->																																													
<!-- Spoilers in 6 rows-->																																													
<!-- Spoilers in 5 rows-->																																													
<!-- Spoilers in 4 rows-->																																													
<!-- Spoilers in 3 rows-->																																													
<!-- Spoilers in 2 rows-->																																													
<!-- Spoilers in 1 row -->																																													
<!-- SPOILERS!!!! -->																																													
Pickup	Подобрать
Truck	Грузовик
Biplane	Биплан
Helicopter	Вертолет
Plane	Самолет
AN-225 Mriya	Ан-225 Мрия
Rocket engine	Ракетный двигатель
Soyuz	Союз
Rocket	Ракета
