en	bg
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	О, не, магнитът се е счупил! :({#} Виждате ли, десният магнит вече е червен.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Опитайте да активирате десния магнит няколко пъти и вижте, че нищо не се случва. (Плъзнете надясно)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Виждате ли, нищо не се случи. Сега опитайте да плъзнете в различни посоки (нагоре и надолу). Нека изчакаме, докато магнитът се поправи.
Done! After several moves, all magnets will be repaired.	Свършен! След няколко хода всички магнити ще бъдат поправени.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Сега нека поговорим за био боклука (остатъците от ябълки). Опитайте да го преместите.
Because bio garbage lacks magnetic materials, magnets can't move it.	Тъй като биобоклукът няма магнитни материали, магнитите не могат да го преместят.
Don't forget to sort your garbage! :)	Не забравяйте да сортирате боклука! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Това е ръждив боклук. Също не може да се рециклира. Числото показва колко време му трябва, за да ръждясва и да изчезне.
Amazing! You've improved your recycling skills!	невероятно! Подобрихте уменията си за рециклиране!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Поздравления за придобиването на работилницата! Нека се потопим в бърз урок за това как да се възползвате максимално от него.
Combine simple details instantly from all fields using the workshop. Give it a try now!	Комбинирайте незабавно прости детайли от всички области с помощта на работилницата. Опитайте сега!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Много е готино, нали? Просто имайте предвид времето за охлаждане. Отнема известно време, така че го използвайте разумно!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Бъдете внимателни, когато има само един наличен детайл за работилницата. Няма да може да го комбинира и просто ще върне артикула обратно.
So, just use it carefully.	Така че, просто го използвайте внимателно.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	Работилницата блести, когато сте заобиколени от досадни прости детайли. Това е идеалният инструмент за ефективно подреждане на вашето пространство!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Поздравления за закупуването на крана! Ето кратък урок как да работите с него.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	За да използвате крана, просто докоснете иконата. Сега сте влезли в режим CRANE.
In CRANE mode, choose an item on the field that you'd like to interact with.	В режим CRANE изберете елемент от полето, с който искате да взаимодействате.
Next, select an empty field where you want to move the chosen item.	След това изберете празно поле, където искате да преместите избрания елемент.
Now, press on the crane once more to execute the action.	Сега натиснете още веднъж крана, за да изпълните действието.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	Докато надграждате, ще получите възможността да променяте не само празните полета, но и да ги разменяте с други елементи.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Не се страхувайте да експериментирате! Ако срещнете грешка, играта ще предостави индикация. {#}Опитайте се да предизвикате грешка (напр. щракнете върху 2 празни клетки).
This is the error indication.	Това е индикацията за грешка.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	И накрая, но не на последно място, опитайте да премахнете избора. За да направите това, натиснете върху предварително избрания елемент или върху крана (ако все още не сте избрали втората клетка).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Поздравления за надграждането на вашата ограда! Нека да видим на какво е способен сега.
To use the fence, click on one of the blue (cyan) objects around the field.	За да използвате оградата, щракнете върху един от сините (циан) обекти около полето.
Swipe the chosen object(s) towards the fence you've initiated.	Плъзнете избрания обект(и) към оградата, която сте инициирали.
Fences usually need some time before you can use them again, so plan your moves accordingly.	Оградите обикновено се нуждаят от известно време, преди да можете да ги използвате отново, така че планирайте ходовете си съответно.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	Хидравличната ограда променя играта - тя може да се справи с всякакви видове боклук, дори и немагнитни.
It's your go-to tool for bio-garbage removal. Give it a shot!	Това е вашият любим инструмент за премахване на биобоклук. Опитай!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Току-що купихте едно надграждане, което е ~10% от вата са необходими за увеличаване на размера на полето!
Keep up! :D	Продължавай! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	Ще получите органични отпадъци с вероятност от {#prob}%
You will recive rust debris with probabiliy of {#prob}%	Ще получите остатъци от ръжда с вероятност от {#prob}%
The probability of obtaining an improved detail is {#prob}%	Вероятността за получаване на подобрен детайл е {#prob}%
The probability of successfully merging two details is approximately {#prob}%	Вероятността за успешно сливане на два детайла е приблизително {#prob}%
Magnets will break with a probability of {#prob}%	Магнитите ще се счупят с вероятност от {#prob}%
More details will drop on the field after {#move} moves	Повече подробности ще паднат на полето след {#move} ходове
No Workshop	Няма работилница
Collects {#cell1}. Cooldown time:	Събира {#cell1}. Време за охлаждане:
Collects {#cell1} and {#cell2}. Cooldown time:	Събира {#cell1} и {#cell2}. Време за охлаждане:
No Crane	Без кран
Move items up to {#cell3}.	Преместване на елементи до {#cell3}.
Move items up to {#cell6}.	Преместване на елементи до {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Преместете елементи до {#cell6} и ги разменете с елементи до {#cell2}.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Преместете елементи до {#cell11} и ги разменете с елементи до {#cell6}.
Move anything and swap it with items up to {#cell9}.	Преместете всичко и го разменете с елементи до {#cell9}.
Move and swap anything!	Преместете и разменете всичко!
Simple fence	Обикновена ограда
Available again after following number of moves: {#move}	Наличен отново след следния брой ходове: {#move}
Details failed to merge!	Обединяването на детайлите не бе успешно!
Warning! Langueages besides English could have some errors (and English also, lol)	Внимание! Езиците освен английски може да имат някои грешки (и английски също, хаха)
The game was saved. You can exit, and resume it later	Играта беше запазена. Можете да излезете и да го възобновите по-късно
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	Кранът е инструмент, който ви позволява да премествате обекти на полето. Основната версия работи само чрез плъзгане на леки обекти на празно място. С надстройките можете да плъзгате по-сложни елементи и дори да разменяте два обекта. За да го използвате, щракнете върху иконата на кран, изберете обекта и изберете място, където искате да го поставите.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Уморихте ли се от прости части, които се забъркват с вашите напреднали компилации? Използвайте работилницата!{#}Работилница - малка отделна сграда, където е възможна ръчна обработка на прости части. Колкото по-високо е нивото на работилницата, толкова повече части може да обработва. Освен това подобрението ви позволява да го използвате по-често.{#}За да използвате, кликнете върху иконата на работилницата, освен ако не е в режим на охлаждане.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Видяхте ли това нещо около ъглите на вашето поле? Какво ще кажете да го направите полезен? Подобрете оградата си, като добавите способността да я отваряте!{#}Позволява ви да се отървете от немеханични отломки. Възможни са допълнителни подобрения на помпите, позволяващи по-честото използване на хидравличната ограда.{#}За да я използвате, щракнете върху желаната секция на оградата и издърпайте частите в тази посока. Всички части в реда, където оградата е отворена, ще бъдат изхвърлени. Запомнете: безопасността на първо място!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	За съжаление не всеки е отговорен за сортирането на отпадъците. Понякога контейнерите с боклук попадат на парчета дървесина, отпадъци и други обикновени боклуци.{#}Инсталирайте допълнително оборудване за сортиране и намалете процента на немеханичните отпадъци до нула.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	Глобалните климатични промени и дори в пустинята дъждовете са станали обичайни. Може би за някого дори е полезно, но някои части могат да ръждясват, което прави невъзможно рециклирането им. Укрепването на хидроизолацията намалява вероятността от корозия на частите.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Искате да ускорите процеса на рециклиране? Добавете модул за предварително сглобяване към вашия транспортьор! С инсталирането му някои изпуснати части ще бъдат по-разширени.{#}Тази надстройка е задължителна, ако искате да увеличите размера на вашето поле.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Нищо не е перфектно. Това се отнася и за процеса на сглобяване. Забелязали ли сте, че понякога части се чупят по време на сливането? За щастие, мога да ви уверя, че това засяга само сглобяването на двигателя - по-сложните части не са проблем. Но все пак е досадно, нали?{#}Но можете да направите този процес по-надежден, като калибрирате оборудването си.{#}Тази надстройка е задължителна, ако искате да увеличите размера на вашето поле.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	Плюсове на подреждането на предмети в пустините - те не ръждясват много в суха среда. Недостатъци – тук може да е наистина горещо.{#}Колкото повече работите, толкова повече време трябва да изчакате между всяко рециклиране, позволявайки на вашето оборудване да се върне към подходяща температура. Това води до натрупване на повече предмети между вашите ходове. Можете да надстроите охладителната система, осигурявайки си по-дълго време за рециклиране.{#}Тази надстройка е задължителна, ако искате да увеличите размера на вашето поле.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	Направи си сам електромагнитите понякога могат да се повредят. Подобрете ги, за да намалите неизправностите.{#}Тази надстройка е задължителна, ако искате да увеличите размера на вашето поле.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Питали ли сте се някога защо имам толкова малко поле? Не е ли неудобно да се работи с големи сборки? Решението е просто - разширете размера на вашето поле! {#}Имайте предвид, че преди разширяване трябва да се уверите, че следните надстройки са напълно закупени: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} и {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	Размерът на нивото, който сте избрали в главното меню, се различава от вашата запазена игра. Можете да прекратите отделената игра и да започнете нова, ако желаете.{#}Какво искате да правите със запазената игра?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Сметище насред пустиня. Може да се каже, че това е идеалното място за съхранение на метални отпадъци - много свободно пространство и сухо време. Макар че вече не. През 2048 г. времето наистина се побърка.{#}Не избрах да прекарам живота си тук. Не съм богат, а границите са затворени за такива като мен. Когато бях дете, мечтаех да покоря космоса. И сега се оказвам заседнал насред нищото.{#}Така че единствената възможност е да работя. И никога не отказвам помощ, радвам се да те намеря тук. С теб знам, че някой ден ще стигна до космоса.{#}И така, какво ще кажете за това: работим заедно, рециклираме колкото се може повече части и си помагаме да направим живота си по-добър. сделка?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Току-що завършихте играта!{#}Обикновено разработчиците поставят тук дълъг списък с имена на работници. Но тази игра е разработена само от мен (Gleb The Polar Citizen).{#}Искам да благодаря на жена си, да благодаря специално на Анна М. за страхотната кола и на всички преводачи!!{#}Ако искате , можете да продължите да играете тази игра или да потърсите други игри, които разработих!{#}Бъдете силни!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Без реклами
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Можете да закупите тази надстройка за премахване на основни реклами.{#}Няма да засегне рекламите с обратна връзка!{#}Бутонът за удвояване на резултатите ще продължи да е наличен. Така че това ще засегне само реклами, които се показват след играта.{#}Освен това, ако просто търсите начин да ме подкрепите, по-добре обмислете да посетите buymeacoffe — бутона със сърцето, разположен с медийни бутони.
